#=====================================================
# File created:        Mon-02-Mar-2026-at-09-52-42PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        11.133747
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9904.5318  0.2581 
   00001    0.6819  -14935.8112  0.2616 
   00002    0.6212  -18171.9469  0.2650 
   00003    0.5761  -20484.1551  0.2775 
   00004    0.5522  -22252.6266  0.2799 
   00005    0.5340  -23839.1534  0.2864 
   00006    0.5069  -24952.3272  0.2884 
   00007    0.5031  -25825.7332  0.2924 
   00008    0.4918  -26562.1826  0.2945 
   00009    0.4974  -27204.7746  0.2970 
   00010    0.4792  -27712.4133  0.3000 
   00011    0.4741  -28292.4758  0.3010 
   00012    0.4669  -28639.6441  0.3065 
   00013    0.4697  -29032.4080  0.3100 
   00014    0.4533  -29384.8578  0.3101 
   00015    0.4566  -29612.2884  0.3124 
   00016    0.4536  -29751.7461  0.3175 
   00017    0.4442  -29991.9254  0.3183 
   00018    0.4518  -30350.0010  0.3191 
   00019    0.4574  -30450.3092  0.3210 
   00020    0.4413  -30596.4780  0.3214 
   00021    0.4354  -30800.5609  0.3207 
   00022    0.4474  -30915.3996  0.3229 
   00023    0.4464  -31004.5345  0.3226 
   00024    0.4354  -31133.9279  0.3227 
   00025    0.4392  -31371.3431  0.3226 
   00026    0.4372  -31456.4598  0.3227 
   00027    0.4457  -31572.8238  0.3229 
   00028    0.4337  -31591.3952  0.3231 
   00029    0.4300  -31730.3694  0.3217 
   00030    0.4206  -31799.2223  0.3220 
   00031    0.4280  -31756.4681  0.3243 
   00032    0.4273  -31764.7276  0.3249 
   00033    0.4251  -31860.8551  0.3250 
   00034    0.4313  -31964.8445  0.3256 
   00035    0.4290  -32012.2612  0.3261 
   00036    0.4266  -31965.7517  0.3314 
   00037    0.4304  -31968.6132  0.3358 
   00038    0.4325  -31972.8875  0.3321 
   00039    0.4361  -32144.9281  0.3315 
   00040    0.4314  -32177.8094  0.3302 
   00041    0.4345  -32149.4726  0.3337 
   00042    0.4243  -32239.2468  0.3334 
   00043    0.4362  -32272.7058  0.3350 
   00044    0.4210  -32271.0487  0.3356 
   00045    0.4270  -32275.2337  0.3380 
   00046    0.4348  -32322.9581  0.3356 
   00047    0.4289  -32417.1026  0.3365 
   00048    0.4201  -32445.2673  0.3368 
   00049    0.4285  -32513.2973  0.3352 
   00050    0.4186  -32593.8796  0.3338 
