#=====================================================
# File created:        Sun-01-Mar-2026-at-12-47-30PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        9.099733
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -409.3513  0.2651 
   00001    0.6925    -608.4783  0.2786 
   00002    0.6175    -702.1865  0.2921 
   00003    0.5850    -777.9521  0.3333 
   00004    0.5250    -815.2216  0.3054 
   00005    0.5700    -855.8907  0.3549 
   00006    0.5000    -852.1000  0.3609 
   00007    0.5150    -839.7193  0.3413 
   00008    0.5350    -894.6392  0.3362 
   00009    0.4975    -897.7272  0.3763 
   00010    0.5225    -945.9171  0.4088 
   00011    0.5025    -929.4964  0.4086 
   00012    0.5075    -926.1613  0.3863 
   00013    0.4900    -947.2141  0.3410 
   00014    0.4950    -913.0140  0.3451 
   00015    0.5600    -920.0372  0.3294 
   00016    0.5100    -913.6395  0.3329 
   00017    0.5575    -907.2518  0.3481 
   00018    0.4675    -927.5463  0.3901 
   00019    0.4550    -953.2456  0.3717 
   00020    0.5025    -936.4326  0.3651 
   00021    0.4825    -948.4066  0.3804 
   00022    0.4250    -953.9686  0.3930 
   00023    0.4675    -986.2550  0.3896 
   00024    0.4600    -952.8641  0.3873 
   00025    0.5500    -960.3737  0.3940 
   00026    0.4875    -939.6900  0.3591 
   00027    0.4825    -955.8776  0.3268 
   00028    0.4550    -937.2473  0.2904 
   00029    0.5175    -893.5177  0.2933 
   00030    0.5275    -921.5171  0.3375 
   00031    0.5200    -936.5903  0.3318 
   00032    0.5300    -922.2648  0.3307 
   00033    0.5000    -966.8354  0.3057 
   00034    0.4950    -953.9752  0.3569 
   00035    0.4900    -939.5532  0.3627 
   00036    0.5325    -946.7385  0.3625 
   00037    0.4800    -939.7382  0.3638 
   00038    0.5000    -920.0222  0.3294 
   00039    0.5150    -905.4907  0.3206 
   00040    0.5125    -896.9956  0.2663 
   00041    0.4825    -893.4667  0.2774 
   00042    0.5575    -846.0376  0.2714 
   00043    0.5325    -828.7845  0.2776 
