#=====================================================
# File created:        Tue-03-Mar-2026-at-10-24-30AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.800
# Run time (s):        3.709215
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2491.4228  0.2632 
   00001    0.6840   -3784.5882  0.2613 
   00002    0.6132   -4445.6875  0.2742 
   00003    0.5640   -4953.3546  0.2762 
   00004    0.5388   -5235.4099  0.2830 
   00005    0.5320   -5472.2446  0.2887 
   00006    0.5232   -5738.6426  0.2965 
   00007    0.5080   -5874.6828  0.2928 
   00008    0.4936   -5958.3056  0.3000 
   00009    0.4812   -6056.1152  0.2957 
   00010    0.4836   -6154.6362  0.2972 
   00011    0.4844   -6272.8471  0.3135 
   00012    0.4712   -6330.5940  0.3128 
   00013    0.4616   -6422.1115  0.3132 
   00014    0.4668   -6466.4950  0.3078 
   00015    0.4676   -6445.2953  0.3189 
   00016    0.4780   -6489.0242  0.3338 
   00017    0.4660   -6479.1912  0.3399 
   00018    0.4624   -6528.2010  0.3566 
   00019    0.4428   -6608.8812  0.3614 
   00020    0.4448   -6598.6914  0.3650 
   00021    0.4356   -6703.4364  0.3652 
   00022    0.4420   -6716.8047  0.3615 
   00023    0.4372   -6721.3351  0.3589 
   00024    0.4496   -6699.0253  0.3551 
   00025    0.4416   -6761.1742  0.3503 
   00026    0.4436   -6715.7390  0.3541 
   00027    0.4524   -6770.1702  0.3588 
   00028    0.4364   -6784.9481  0.3655 
   00029    0.4508   -6758.0464  0.3547 
   00030    0.4480   -6774.6701  0.3611 
   00031    0.4624   -6693.0359  0.3655 
   00032    0.4416   -6719.9855  0.3696 
   00033    0.4448   -6771.7474  0.3623 
   00034    0.4500   -6804.3625  0.3647 
   00035    0.4284   -6836.2512  0.3641 
   00036    0.4416   -6902.4944  0.3644 
   00037    0.4292   -6912.9236  0.3660 
   00038    0.4332   -6910.7625  0.3657 
   00039    0.4216   -6939.0971  0.3664 
   00040    0.4248   -6958.2755  0.3707 
   00041    0.4292   -6918.4388  0.3613 
   00042    0.4240   -6942.4239  0.3666 
   00043    0.4268   -6928.6348  0.3598 
   00044    0.4304   -6919.4860  0.3636 
   00045    0.4372   -6933.6904  0.3660 
   00046    0.4376   -6863.7768  0.3634 
   00047    0.4420   -6818.1105  0.3728 
   00048    0.4116   -6745.6378  0.3737 
   00049    0.4408   -6655.3833  0.3655 
   00050    0.4604   -6705.4811  0.3637 
