#=====================================================
# File created:        Sat-28-Feb-2026-at-06-52-51PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.175960
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2489.7603  0.2761 
   00001    0.6760   -3727.3423  0.2810 
   00002    0.6188   -4495.0785  0.2946 
   00003    0.5928   -5066.4817  0.3032 
   00004    0.5448   -5545.7004  0.3235 
   00005    0.5272   -5845.4594  0.3264 
   00006    0.5152   -6136.7799  0.3398 
   00007    0.5128   -6342.9756  0.3565 
   00008    0.4968   -6541.8599  0.3591 
   00009    0.4932   -6746.4914  0.3669 
   00010    0.4708   -6894.4576  0.3711 
   00011    0.4796   -6959.4459  0.3724 
   00012    0.4832   -7056.2263  0.3854 
   00013    0.4636   -7169.0655  0.3970 
   00014    0.4432   -7244.9624  0.4022 
   00015    0.4624   -7330.1288  0.4094 
   00016    0.4628   -7389.7485  0.4139 
   00017    0.4280   -7477.5838  0.4228 
   00018    0.4568   -7547.0336  0.4275 
   00019    0.4280   -7603.5068  0.4314 
   00020    0.4560   -7680.0711  0.4229 
   00021    0.4360   -7663.6751  0.4294 
   00022    0.4220   -7683.8911  0.4335 
   00023    0.4396   -7732.2982  0.4394 
   00024    0.4424   -7774.7484  0.4341 
   00025    0.4320   -7780.6355  0.4335 
   00026    0.4412   -7844.3172  0.4371 
   00027    0.4304   -7842.4008  0.4387 
   00028    0.4424   -7900.9351  0.4424 
   00029    0.4312   -7906.6501  0.4441 
   00030    0.4316   -7928.0363  0.4415 
   00031    0.4332   -7945.8418  0.4382 
   00032    0.4512   -7987.2657  0.4408 
   00033    0.4332   -7993.7096  0.4356 
   00034    0.4320   -8025.3310  0.4392 
   00035    0.4212   -8044.8863  0.4419 
   00036    0.4376   -8046.6400  0.4386 
   00037    0.4220   -8002.2265  0.4367 
   00038    0.4212   -8056.9883  0.4491 
   00039    0.4244   -8077.8610  0.4565 
   00040    0.4276   -8091.3652  0.4552 
   00041    0.4472   -8062.3381  0.4566 
   00042    0.4324   -8097.7159  0.4655 
   00043    0.4452   -8102.2797  0.4639 
   00044    0.4404   -8108.2207  0.4618 
   00045    0.4332   -8161.4989  0.4576 
   00046    0.4176   -8189.4972  0.4629 
   00047    0.4248   -8120.1392  0.4575 
   00048    0.4160   -8140.4570  0.4602 
   00049    0.4172   -8127.6154  0.4603 
   00050    0.4252   -8167.3497  0.4637 
