numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.399, Time: 2.022684 s
         3497319 function calls (3381659 primitive calls) in 13.722 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    767/1    0.013    0.000   13.733   13.733 {built-in method builtins.exec}
        1    0.016    0.016    9.301    9.301 numba_parallel.py:263(main)
       91    0.006    0.000    7.412    0.081 __init__.py:1(<module>)
        2    0.000    0.000    7.094    3.547 dispatcher.py:344(_compile_for_args)
     17/2    0.001    0.000    7.045    3.523 dispatcher.py:862(compile)
      7/2    0.000    0.000    7.044    3.522 dispatcher.py:79(compile)
      7/2    0.000    0.000    7.044    3.522 dispatcher.py:86(_compile_cached)
      7/2    0.000    0.000    7.044    3.522 dispatcher.py:101(_compile_core)
      7/2    0.000    0.000    7.042    3.521 compiler.py:713(compile_extra)
  930/163    0.012    0.000    5.637    0.035 <frozen importlib._bootstrap>:1349(_find_and_load)
   806/46    0.010    0.000    5.629    0.122 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1946/58    0.019    0.000    5.618    0.097 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   778/47    0.008    0.000    5.607    0.119 <frozen importlib._bootstrap>:911(_load_unlocked)
   704/47    0.005    0.000    5.600    0.119 <frozen importlib._bootstrap_external>:993(exec_module)
   620/66    0.002    0.000    5.174    0.078 {built-in method builtins.__import__}
  579/303    0.006    0.000    5.118    0.017 compiler_lock.py:32(_acquire_compile_lock)
8567/7684    0.080    0.000    5.058    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     11/2    0.000    0.000    5.036    2.518 compiler.py:433(compile_extra)
     11/2    0.000    0.000    5.034    2.517 compiler.py:500(_compile_bytecode)
     11/2    0.000    0.000    5.034    2.517 compiler.py:456(_compile_core)
     11/2    0.003    0.000    5.029    2.514 compiler_machinery.py:342(run)
   297/54    0.027    0.000    5.024    0.093 compiler_machinery.py:267(_runPass)
  891/162    0.004    0.000    4.994    0.031 compiler_machinery.py:271(check)
     11/6    0.002    0.000    3.799    0.633 typed_passes.py:439(run_pass)
