#=====================================================
# File created:        Tue-24-Feb-2026-at-07-04-43PM
# Size of lattice:     100x100
# Number of MC steps:  20
# Reduced temperature: 0.500
# Run time (s):        1.014719
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9731.5522  0.2509 
   00001    0.0072   -9781.3930  0.2511 
   00002    0.0073   -9854.4066  0.2521 
   00003    0.0069   -9928.2320  0.2530 
   00004    0.0078  -10010.6196  0.2529 
   00005    0.0077  -10093.6536  0.2535 
   00006    0.0075  -10149.9277  0.2532 
   00007    0.0065  -10194.4722  0.2530 
   00008    0.0072  -10269.1474  0.2528 
   00009    0.0069  -10323.0089  0.2527 
   00010    0.0066  -10389.7103  0.2530 
   00011    0.0080  -10437.7144  0.2525 
   00012    0.0071  -10496.7705  0.2523 
   00013    0.0074  -10554.9072  0.2521 
   00014    0.0063  -10608.0359  0.2522 
   00015    0.0070  -10661.1742  0.2531 
   00016    0.0067  -10722.5530  0.2528 
   00017    0.0070  -10765.7305  0.2521 
   00018    0.0081  -10842.0014  0.2517 
   00019    0.0073  -10892.6389  0.2519 
   00020    0.0068  -10952.5347  0.2515 
