LebwohlLasher.py: Size: 100, Steps: 10, T*: 0.500: Order: 0.276, Time: 4.300005 s
         3701604 function calls (3627276 primitive calls) in 51.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2   29.445   14.722   29.829   14.915 {built-in method getSaveFileName}
      7/4    0.000    0.000    6.886    1.722 text.py:73(_get_text_metrics_with_cache_impl)
      7/4    1.574    0.225    6.709    1.677 backend_agg.py:206(get_text_width_height_descent)
       43    0.004    0.000    4.509    0.105 __init__.py:1(<module>)
        6    0.000    0.000    4.198    0.700 quiver.py:581(draw)
   410/10    0.006    0.000    3.978    0.398 <frozen importlib._bootstrap>:1349(_find_and_load)
   407/10    0.005    0.000    3.977    0.398 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   391/11    0.004    0.000    3.970    0.361 <frozen importlib._bootstrap>:911(_load_unlocked)
   943/17    0.003    0.000    3.969    0.233 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   324/11    0.003    0.000    3.969    0.361 <frozen importlib._bootstrap_external>:993(exec_module)
   439/25    0.001    0.000    3.401    0.136 {built-in method builtins.__import__}
   310000    3.374    0.000    3.374    0.000 LebwohlLasher.py:131(one_energy)
        8    0.125    0.016    3.342    0.418 collections.py:1206(set_verts)
    60152    0.342    0.000    3.225    0.000 path.py:99(__init__)
   421/93    0.003    0.000    3.143    0.034 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       10    0.865    0.086    3.086    0.309 LebwohlLasher.py:210(MC_step)
    135/2    0.004    0.000    2.848    1.424 text.py:926(get_window_extent)
    208/2    0.020    0.000    2.822    1.411 text.py:358(_get_layout)
        1    0.001    0.001    2.108    2.108 pyplot.py:1(<module>)
1245/1155    0.028    0.000    1.997    0.002 {built-in method builtins.__build_class__}
    424/5    0.004    0.000    1.704    0.341 text.py:65(_get_text_metrics_with_cache)
      106    0.009    0.000    1.432    0.014 artist.py:158(_update_set_signature_and_docstring)
      105    0.015    0.000    1.424    0.014 artist.py:125(__init_subclass__)
       11    0.192    0.017    1.346    0.122 LebwohlLasher.py:165(all_energy)
    60161    0.452    0.000    1.299    0.000 __init__.py:147(check_shape)
        2    0.000    0.000    1.235    0.618 pyplot.py:1621(subplots)
    60152    0.326    0.000    1.195    0.000 path.py:202(_update_values)
        2    0.000    0.000    1.123    0.562 pyplot.py:871(figure)
        2    0.000    0.000    1.123    0.561 pyplot.py:548(new_figure_manager)
      120    0.001    0.000    1.119    0.009 artist.py:1832(kwdoc)
        1    0.000    0.000    1.039    1.039 figure.py:1(<module>)
      120    0.019    0.000    0.939    0.008 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.902    0.902 image.py:1(<module>)
        9    0.000    0.000    0.852    0.095 __init__.py:73(import_module)
        9    0.000    0.000    0.852    0.095 <frozen importlib._bootstrap>:1375(_gcd_import)
        4    0.000    0.000    0.847    0.212 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.847    0.085 pyplot.py:358(_get_backend_mod)
      3/1    0.000    0.000    0.847    0.847 pyplot.py:372(switch_backend)
        2    0.000    0.000    0.840    0.420 registry.py:302(load_backend_module)
   127233    0.343    0.000    0.838    0.000 __init__.py:781(__getitem__)
        1    0.000    0.000    0.837    0.837 backend_qtagg.py:1(<module>)
        6    0.000    0.000    0.822    0.137 collections.py:1005(draw)
        6    0.821    0.137    0.821    0.137 collections.py:352(draw)
        1    0.000    0.000    0.818    0.818 backend_bases.py:1(<module>)
     4409    0.052    0.000    0.769    0.000 artist.py:1461(get_valid_values)
        1    0.000    0.000    0.737    0.737 backend_qt.py:762(edit_parameters)
        1    0.010    0.010    0.737    0.737 figureoptions.py:30(figure_edit)
        1    0.000    0.000    0.718    0.718 _formlayout.py:499(fedit)
     7555    0.365    0.000    0.712    0.000 inspect.py:882(cleandoc)
 37811/86    0.267    0.000    0.675    0.008 copy.py:118(deepcopy)
    61496    0.308    0.000    0.647    0.000 {built-in method builtins.any}
        1    0.001    0.001    0.643    0.643 _formlayout.py:421(__init__)
  604/264    0.017    0.000    0.641    0.002 copy.py:217(_deepcopy_dict)
        1    0.003    0.003    0.621    0.621 _formlayout.py:393(__init__)
1509/1467    0.014    0.000    0.620    0.000 copy.py:247(_reconstruct)
     7512    0.028    0.000    0.607    0.000 inspect.py:863(getdoc)
        2    0.002    0.001    0.606    0.303 _formlayout.py:214(__init__)
        1    0.002    0.002    0.605    0.605 _formlayout.py:363(__init__)
   3057/2    0.050    0.000    0.599    0.300 copy.py:191(_deepcopy_list)
  3206/19    0.029    0.000    0.599    0.032 copy.py:200(_deepcopy_tuple)
     9240    0.025    0.000    0.565    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.561    0.561 qt_compat.py:1(<module>)
        2    0.000    0.000    0.558    0.279 qt_compat.py:66(_setup_pyqt5plus)
     7020    0.025    0.000    0.536    0.000 __init__.py:280(_compile)
    49/45    0.000    0.000    0.529    0.012 <frozen importlib._bootstrap_external>:1299(exec_module)
    49/45    0.019    0.000    0.528    0.012 {built-in method _imp.exec_dynamic}
      195    0.014    0.000    0.526    0.003 enum.py:862(_create_)
   127560    0.325    0.000    0.496    0.000 __init__.py:701(_get)
      229    0.003    0.000    0.487    0.002 _compiler.py:745(compile)
        1    0.000    0.000    0.485    0.485 text.py:1(<module>)
388129/385474    0.433    0.000    0.438    0.000 {built-in method builtins.len}
      227    0.002    0.000    0.406    0.002 artist.py:1413(__init__)
      227    0.137    0.001    0.402    0.002 artist.py:1433(get_aliases)
    60510    0.236    0.000    0.392    0.000 cbook.py:1347(_to_unmasked_float_array)
       36    0.005    0.000    0.383    0.011 axis.py:1276(_update_ticks)
       76    0.000    0.000    0.375    0.005 __init__.py:226(compile)
        1    0.000    0.000    0.339    0.339 __init__.py:41(_setupQtDirectories)
      229    0.002    0.000    0.335    0.001 _parser.py:969(parse)
        1    0.000    0.000    0.332    0.332 patches.py:1(<module>)
      231    0.028    0.000    0.330    0.001 enum.py:528(__new__)
  708/229    0.014    0.000    0.328    0.001 _parser.py:452(_parse_sub)
        1    0.001    0.001    0.326    0.326 rcsetup.py:1(<module>)
 1292/253    0.082    0.000    0.324    0.001 _parser.py:512(_parse)
        1    0.000    0.000    0.322    0.322 _axes.py:1(<module>)
   180486    0.320    0.000    0.320    0.000 __init__.py:167(<genexpr>)
        1    0.000    0.000    0.319    0.319 signature_bootstrap.py:40(bootstrap)
     13/3    0.000    0.000    0.312    0.104 signature_bootstrap.py:190(exec_module)
        2    0.000    0.000    0.311    0.156 loader.py:1(<module>)
        1    0.000    0.000    0.292    0.292 widgets.py:1(<module>)
        1    0.000    0.000    0.289    0.289 collections.py:1(<module>)
        3    0.245    0.082    0.281    0.094 {method 'show' of 'PySide6.QtWidgets.QWidget' objects}
        2    0.000    0.000    0.276    0.138 backend_bases.py:3497(new_figure_manager)
8185/4733    0.030    0.000    0.271    0.000 {built-in method __new__ of type object at 0xb4eac3859a68}
        2    0.000    0.000    0.269    0.134 backend_bases.py:3506(new_figure_manager_given_figure)
        2    0.000    0.000    0.268    0.134 backend_bases.py:1774(new_manager)
        2    0.000    0.000    0.268    0.134 backend_bases.py:2648(create_with_canvas)
        1    0.000    0.000    0.258    0.258 _base.py:1(<module>)
        1    0.004    0.004    0.258    0.258 backend_qt.py:1(<module>)
      405    0.009    0.000    0.255    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
       36    0.000    0.000    0.251    0.007 axis.py:1644(get_major_ticks)
     3452    0.112    0.000    0.247    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.245    0.245 axes3d.py:1(<module>)
      227    0.084    0.000    0.238    0.001 artist.py:1511(get_setters)
      120    0.004    0.000    0.229    0.002 backend_qt.py:344(mouseMoveEvent)
      389    0.001    0.000    0.224    0.001 <frozen importlib._bootstrap_external>:1524(find_spec)
      389    0.004    0.000    0.223    0.001 <frozen importlib._bootstrap_external>:1495(_get_spec)
      653    0.016    0.000    0.213    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     3939    0.069    0.000    0.211    0.000 enum.py:390(__setitem__)
        2    0.000    0.000    0.206    0.103 backend_qt.py:660(show)
        1    0.000    0.000    0.199    0.199 _fontconfig_pattern.py:1(<module>)
       36    0.000    0.000    0.197    0.005 axis.py:1585(_get_tick)
        2    0.001    0.000    0.192    0.096 backend_qt.py:231(__init__)
     5932    0.020    0.000    0.188    0.000 __init__.py:174(search)
        1    0.182    0.182    0.183    0.183 backend_qt.py:92(_create_qApp)
        1    0.000    0.000    0.181    0.181 pyi_generator.py:1(<module>)
        1    0.000    0.000    0.181    0.181 pyi_generator.py:87(Formatter)
        9    0.000    0.000    0.177    0.020 _base.py:783(__init_subclass__)
  128/117    0.002    0.000    0.175    0.001 _docstring.py:122(__call__)
   122138    0.152    0.000    0.175    0.000 {built-in method builtins.isinstance}
   127560    0.172    0.000    0.172    0.000 {function RcParams.__getitem__ at 0xf5afabc48540}
       31    0.016    0.001    0.163    0.005 __init__.py:887(_rc_params_in_file)
  391/384    0.003    0.000    0.162    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.160    0.160 __config__.py:1(<module>)
      132    0.003    0.000    0.160    0.001 backend_bases.py:1266(__init__)
     1677    0.157    0.000    0.158    0.000 {built-in method posix.stat}
      324    0.006    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
     1554    0.004    0.000    0.156    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.002    0.001    0.156    0.052 core.py:1(<module>)
      120    0.002    0.000    0.148    0.001 backend_bases.py:1384(__init__)
      229    0.001    0.000    0.146    0.001 _compiler.py:578(_code)
      132    0.002    0.000    0.145    0.001 backend_bases.py:1805(inaxes)
       36    0.003    0.000    0.143    0.004 axis.py:59(__init__)
       14    0.000    0.000    0.142    0.010 _docstring.py:73(__missing__)
      132    0.002    0.000    0.141    0.001 patches.py:179(contains_point)
    92707    0.119    0.000    0.138    0.000 {built-in method builtins.getattr}
   101014    0.132    0.000    0.132    0.000 {method 'get' of 'dict' objects}
    49/47    0.000    0.000    0.131    0.003 <frozen importlib._bootstrap_external>:1291(create_module)
    49/47    0.067    0.001    0.130    0.003 {built-in method _imp.create_dynamic}
92036/92002    0.122    0.000    0.129    0.000 {built-in method builtins.hasattr}
 2358/229    0.044    0.000    0.129    0.001 _compiler.py:37(_compile)
        1    0.000    0.000    0.128    0.128 art3d.py:1(<module>)
      730    0.002    0.000    0.125    0.000 inspect.py:3346(signature)
        1    0.001    0.001    0.125    0.125 _axes.py:67(Axes)
      730    0.002    0.000    0.123    0.000 inspect.py:3081(from_callable)
  866/730    0.012    0.000    0.121    0.000 inspect.py:2501(_signature_from_callable)
        1    0.000    0.000    0.116    0.116 colors.py:1(<module>)
   100870    0.115    0.000    0.115    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.112    0.112 _arraypad_impl.py:1(<module>)
        2    0.000    0.000    0.112    0.056 figure.py:785(subplots)
        2    0.000    0.000    0.112    0.056 gridspec.py:249(subplots)
        2    0.000    0.000    0.112    0.056 figure.py:644(add_subplot)
        1    0.000    0.000    0.111    0.111 _index_tricks_impl.py:1(<module>)
        2    0.000    0.000    0.111    0.056 _base.py:615(__init__)
      984    0.005    0.000    0.111    0.000 __init__.py:751(__setitem__)
    90576    0.105    0.000    0.105    0.000 {method 'append' of 'list' objects}
       86    0.030    0.000    0.100    0.001 backend_agg.py:248(_prepare_font)
       12    0.000    0.000    0.100    0.008 axis.py:2223(_get_tick_boxes_siblings)
       18    0.001    0.000    0.100    0.006 axis.py:367(__init__)
        1    0.000    0.000    0.099    0.099 defmatrix.py:1(<module>)
       18    0.001    0.000    0.097    0.005 axis.py:428(__init__)
        1    0.000    0.000    0.096    0.096 _linalg.py:1(<module>)
        1    0.000    0.000    0.096    0.096 layout.py:1(<module>)
       28    0.000    0.000    0.094    0.003 axis.py:1606(_copy_tick_props)
    89210    0.094    0.000    0.094    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.093    0.093 offsetbox.py:1(<module>)
        2    0.000    0.000    0.092    0.046 image.py:1526(imsave)
    70178    0.092    0.000    0.092    0.000 {method 'items' of 'dict' objects}
      264    0.001    0.000    0.091    0.000 markers.py:220(__init__)
        2    0.000    0.000    0.090    0.045 Image.py:2476(save)
        1    0.000    0.000    0.089    0.089 parser.py:1(<module>)
        2    0.000    0.000    0.088    0.044 _base.py:1445(clear)
        2    0.000    0.000    0.088    0.044 _base.py:1313(__clear)
      697    0.020    0.000    0.087    0.000 inspect.py:2397(_signature_from_function)
      324    0.010    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      264    0.003    0.000    0.087    0.000 markers.py:299(_set_marker)
     6885    0.042    0.000    0.087    0.000 inspect.py:2743(__init__)
        2    0.001    0.000    0.086    0.043 core.py:198(read_style_directory)
        1    0.000    0.000    0.086    0.086 parser.py:116(__init__)
        6    0.000    0.000    0.085    0.014 axis.py:2665(_update_label_position)
       84    0.001    0.000    0.084    0.001 lines.py:1352(update_from)
      202    0.002    0.000    0.083    0.000 patches.py:307(get_transform)
    61896    0.083    0.000    0.083    0.000 {built-in method numpy.asarray}
  330/217    0.001    0.000    0.082    0.000 typing.py:392(inner)
        1    0.000    0.000    0.079    0.079 axis.py:1(<module>)
        1    0.000    0.000    0.077    0.077 multiarray.py:1(<module>)
        2    0.006    0.003    0.076    0.038 backend_qt.py:584(__init__)
      426    0.001    0.000    0.076    0.000 artist.py:146(<lambda>)
      324    0.076    0.000    0.076    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.075    0.012 axis.py:2438(_update_label_position)
      426    0.002    0.000    0.074    0.000 artist.py:1237(set)
      626    0.015    0.000    0.074    0.000 artist.py:1188(_update_props)
    60316    0.074    0.000    0.074    0.000 path.py:254(should_simplify)
1586/1582    0.014    0.000    0.074    0.000 cbook.py:348(process)
        1    0.000    0.000    0.074    0.074 geo.py:1(<module>)
    66699    0.073    0.000    0.073    0.000 {built-in method builtins.min}
    57252    0.073    0.000    0.073    0.000 {built-in method builtins.id}
      200    0.001    0.000    0.072    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
    60448    0.072    0.000    0.072    0.000 path.py:223(codes)
    60740    0.072    0.000    0.072    0.000 path.py:211(vertices)
      166    0.007    0.000    0.071    0.000 patches.py:800(get_patch_transform)
        1    0.000    0.000    0.071    0.071 lines.py:1(<module>)
        1    0.000    0.000    0.070    0.070 cm.py:1(<module>)
    60316    0.070    0.000    0.070    0.000 path.py:242(simplify_threshold)
     9435    0.043    0.000    0.069    0.000 copy.py:231(_keep_alive)
      984    0.004    0.000    0.068    0.000 artist.py:1536(is_alias)
      108    0.007    0.000    0.067    0.001 lines.py:301(__init__)
