run_Cython_1.py: Size: 50, Steps: 10, T*: 0.500: Order: 0.253, Time: 0.129703 s
         1710736 function calls (1679355 primitive calls) in 3.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.002    0.000    2.583    0.060 __init__.py:1(<module>)
     39/2    0.001    0.000    2.569    1.285 text.py:926(get_window_extent)
     63/2    0.012    0.000    2.569    1.285 text.py:358(_get_layout)
    403/4    0.003    0.000    2.084    0.521 <frozen importlib._bootstrap>:1349(_find_and_load)
    400/4    0.006    0.000    2.084    0.521 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    384/4    0.002    0.000    2.082    0.521 <frozen importlib._bootstrap>:911(_load_unlocked)
    922/9    0.001    0.000    2.082    0.231 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    317/7    0.001    0.000    2.077    0.297 <frozen importlib._bootstrap_external>:993(exec_module)
    49/11    0.000    0.000    1.956    0.178 <frozen importlib._bootstrap_external>:1299(exec_module)
    49/11    0.007    0.000    1.956    0.178 {built-in method _imp.exec_dynamic}
   432/21    0.001    0.000    1.816    0.086 {built-in method builtins.__import__}
   406/84    0.002    0.000    1.693    0.020 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    1.183    1.183 pyplot.py:1(<module>)
1233/1143    0.014    0.000    1.108    0.001 {built-in method builtins.__build_class__}
      106    0.004    0.000    0.790    0.007 artist.py:158(_update_set_signature_and_docstring)
      105    0.001    0.000    0.778    0.007 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.640    0.640 figure.py:1(<module>)
      120    0.001    0.000    0.624    0.005 artist.py:1832(kwdoc)
        2    0.000    0.000    0.572    0.286 pyplot.py:1621(subplots)
      120    0.010    0.000    0.526    0.004 artist.py:1593(pprint_setters)
        2    0.000    0.000    0.518    0.259 pyplot.py:871(figure)
        2    0.000    0.000    0.518    0.259 pyplot.py:548(new_figure_manager)
        1    0.000    0.000    0.443    0.443 image.py:1(<module>)
     4409    0.028    0.000    0.432    0.000 artist.py:1461(get_valid_values)
     7555    0.214    0.000    0.420    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.410    0.410 backend_bases.py:1(<module>)
        9    0.000    0.000    0.383    0.043 __init__.py:73(import_module)
        9    0.000    0.000    0.383    0.043 <frozen importlib._bootstrap>:1375(_gcd_import)
        4    0.000    0.000    0.370    0.092 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.370    0.037 pyplot.py:358(_get_backend_mod)
      3/1    0.000    0.000    0.370    0.370 pyplot.py:372(switch_backend)
        2    0.000    0.000    0.368    0.184 registry.py:302(load_backend_module)
        1    0.000    0.000    0.367    0.367 backend_qtagg.py:1(<module>)
     7512    0.015    0.000    0.343    0.000 inspect.py:863(getdoc)
    136/5    0.001    0.000    0.329    0.066 text.py:65(_get_text_metrics_with_cache)
      6/3    0.000    0.000    0.328    0.109 text.py:73(_get_text_metrics_with_cache_impl)
     7020    0.012    0.000    0.305    0.000 __init__.py:280(_compile)
      229    0.002    0.000    0.280    0.001 _compiler.py:745(compile)
        1    0.000    0.000    0.264    0.264 qt_compat.py:1(<module>)
        2    0.000    0.000    0.263    0.131 qt_compat.py:66(_setup_pyqt5plus)
        1    0.000    0.000    0.259    0.259 text.py:1(<module>)
      6/3    0.232    0.039    0.241    0.080 backend_agg.py:206(get_text_width_height_descent)
      227    0.001    0.000    0.222    0.001 artist.py:1413(__init__)
