#=====================================================
# File created:        Fri-27-Feb-2026-at-05-23-04PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.651607
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2535.4747  0.2652 
   00001    0.6908   -3720.8503  0.2794 
   00002    0.6248   -4535.9924  0.2809 
   00003    0.5988   -5076.2106  0.2987 
   00004    0.5592   -5523.1035  0.3028 
   00005    0.5264   -5845.0141  0.2955 
   00006    0.5088   -6224.8087  0.3043 
   00007    0.5220   -6507.7902  0.3071 
   00008    0.4944   -6680.4552  0.3146 
   00009    0.4900   -6867.5566  0.3218 
   00010    0.4632   -7045.7469  0.3306 
   00011    0.4624   -7139.4325  0.3332 
   00012    0.4644   -7255.8694  0.3362 
   00013    0.4560   -7400.4446  0.3368 
   00014    0.4444   -7412.1690  0.3383 
   00015    0.4528   -7490.3949  0.3482 
   00016    0.4540   -7532.7615  0.3485 
   00017    0.4616   -7608.4978  0.3549 
   00018    0.4412   -7670.0862  0.3573 
   00019    0.4336   -7685.3258  0.3614 
   00020    0.4304   -7722.6123  0.3586 
   00021    0.4448   -7741.8585  0.3665 
   00022    0.4476   -7810.0719  0.3708 
   00023    0.4284   -7828.3294  0.3777 
   00024    0.4196   -7886.6787  0.3757 
   00025    0.4296   -7895.6627  0.3832 
   00026    0.4408   -7960.7034  0.3833 
   00027    0.4308   -7962.0186  0.3844 
   00028    0.4408   -7977.4441  0.3841 
   00029    0.4380   -8036.1735  0.3850 
   00030    0.4308   -8100.2209  0.3916 
   00031    0.4252   -8076.2765  0.3934 
   00032    0.4188   -8136.2539  0.3879 
   00033    0.4228   -8160.7982  0.3933 
   00034    0.4136   -8171.0427  0.3968 
   00035    0.4188   -8175.0539  0.4018 
   00036    0.4404   -8188.4480  0.4018 
   00037    0.4292   -8186.1083  0.4066 
   00038    0.4100   -8220.8814  0.3992 
   00039    0.4048   -8222.3093  0.4022 
   00040    0.3960   -8198.4041  0.4062 
   00041    0.4160   -8240.0346  0.4143 
   00042    0.4324   -8266.6109  0.4160 
   00043    0.4244   -8247.6999  0.4261 
   00044    0.4452   -8270.2682  0.4247 
   00045    0.4148   -8280.2411  0.4219 
   00046    0.4340   -8282.7737  0.4260 
   00047    0.4192   -8262.2079  0.4218 
   00048    0.4140   -8292.4101  0.4237 
   00049    0.4284   -8261.9905  0.4275 
   00050    0.4048   -8288.6394  0.4264 
