#=====================================================
# File created:        Sat-28-Feb-2026-at-02-05-19PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.085463
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2537.5353  0.2632 
   00001    0.6780   -2654.7577  0.2569 
   00002    0.6612   -2735.4414  0.2650 
   00003    0.6300   -2697.6311  0.2691 
   00004    0.5772   -2943.6348  0.2683 
   00005    0.5856   -3006.7048  0.2758 
   00006    0.5356   -3099.0113  0.2617 
   00007    0.5572   -3167.5328  0.2601 
   00008    0.5204   -3268.0724  0.2564 
   00009    0.5200   -3435.1611  0.2584 
   00010    0.5176   -3548.3700  0.2549 
   00011    0.5088   -3572.8956  0.2558 
   00012    0.4852   -3582.1460  0.2604 
   00013    0.5088   -3651.1467  0.2606 
   00014    0.4848   -3687.7465  0.2589 
   00015    0.4520   -3729.2803  0.2668 
   00016    0.4620   -3880.9688  0.2592 
   00017    0.4688   -3883.4826  0.2705 
   00018    0.4648   -3921.3757  0.2707 
   00019    0.4732   -4164.8044  0.2588 
   00020    0.4616   -4199.7818  0.2652 
   00021    0.4468   -4230.5554  0.2712 
   00022    0.4484   -4297.5939  0.2711 
   00023    0.4532   -4299.5187  0.2673 
   00024    0.4588   -4393.7690  0.2724 
   00025    0.4084   -4409.9019  0.2802 
   00026    0.4368   -4417.6587  0.2746 
   00027    0.4156   -4445.2709  0.2765 
   00028    0.4324   -4487.4671  0.2695 
   00029    0.4324   -4544.0535  0.2774 
   00030    0.4088   -4557.9163  0.2775 
   00031    0.4384   -4493.9814  0.2727 
   00032    0.4100   -4512.7091  0.2809 
   00033    0.4252   -4631.5576  0.2764 
   00034    0.4376   -4736.5059  0.2834 
   00035    0.4144   -4703.4606  0.2840 
   00036    0.4132   -4675.8988  0.2847 
   00037    0.4180   -4731.1994  0.2745 
   00038    0.3968   -4767.8245  0.2808 
   00039    0.4192   -4771.6071  0.2745 
   00040    0.4204   -4795.9737  0.2748 
   00041    0.4180   -4819.0481  0.2655 
   00042    0.4080   -4806.1538  0.2673 
   00043    0.4104   -4784.1704  0.2642 
   00044    0.3952   -4840.5946  0.2660 
   00045    0.4376   -4854.7362  0.2652 
   00046    0.4208   -4917.6741  0.2625 
   00047    0.4224   -4896.0715  0.2573 
   00048    0.4020   -4872.8338  0.2551 
   00049    0.3920   -4881.3171  0.2570 
   00050    0.3964   -4964.3503  0.2601 
