#=====================================================
# File created:        Sat-28-Feb-2026-at-09-07-00AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        12.201485
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2518.3179  1.0145 
   00001    0.6772   -3768.5356  1.0218 
   00002    0.6088   -4505.3754  1.0271 
   00003    0.5896   -5039.3968  1.0325 
   00004    0.5612   -5554.2653  1.0440 
   00005    0.5248   -5966.2501  1.0406 
   00006    0.5160   -6175.2266  1.0512 
   00007    0.5232   -6411.1202  1.0748 
   00008    0.5032   -6604.0274  1.0734 
   00009    0.4832   -6737.9269  1.0719 
   00010    0.4844   -6841.3064  1.0735 
   00011    0.4680   -6945.3546  1.0733 
   00012    0.4772   -7028.7515  1.0693 
   00013    0.4572   -7137.6131  1.0779 
   00014    0.4764   -7225.8791  1.0893 
   00015    0.4612   -7263.1963  1.0979 
   00016    0.4612   -7354.7228  1.1081 
   00017    0.4508   -7425.9109  1.1211 
   00018    0.4408   -7532.6359  1.1291 
   00019    0.4528   -7604.6705  1.1351 
   00020    0.4540   -7636.2454  1.1295 
   00021    0.4352   -7672.9159  1.1346 
   00022    0.4292   -7700.3253  1.1366 
   00023    0.4536   -7701.7701  1.1403 
   00024    0.4404   -7747.7717  1.1316 
   00025    0.4324   -7765.0232  1.1336 
   00026    0.4300   -7806.5196  1.1299 
   00027    0.4340   -7871.8283  1.1355 
   00028    0.4468   -7895.5726  1.1435 
   00029    0.4420   -7936.5894  1.1432 
   00030    0.4408   -7949.6382  1.1446 
   00031    0.4440   -7940.9427  1.1490 
   00032    0.4348   -7932.8828  1.1533 
   00033    0.4312   -7946.6667  1.1499 
   00034    0.4432   -7932.6757  1.1614 
   00035    0.4420   -7953.0337  1.1666 
   00036    0.4260   -7980.0571  1.1841 
   00037    0.4280   -8017.0657  1.1904 
   00038    0.4452   -8029.0051  1.1930 
   00039    0.4340   -8025.6380  1.1938 
   00040    0.4112   -8019.9622  1.1908 
   00041    0.4352   -8054.2456  1.2020 
   00042    0.4436   -8049.8996  1.2001 
   00043    0.4356   -8074.1389  1.1935 
   00044    0.4188   -8043.4234  1.1991 
   00045    0.4444   -8119.7570  1.1988 
   00046    0.4276   -8084.8251  1.1910 
   00047    0.4176   -8099.0707  1.1983 
   00048    0.4140   -8128.3559  1.1998 
   00049    0.4292   -8126.3529  1.1975 
   00050    0.4232   -8126.6396  1.2032 
