full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/4    0.000    0.000    7.507    1.877 text.py:73(_get_text_metrics_with_cache_impl)
      7/4    0.671    0.096    7.281    1.820 backend_agg.py:206(get_text_width_height_descent)
       43    0.004    0.000    5.829    0.136 __init__.py:1(<module>)
    402/6    0.006    0.000    5.131    0.855 <frozen importlib._bootstrap>:1349(_find_and_load)
    399/6    0.005    0.000    5.131    0.855 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    383/7    0.004    0.000    5.124    0.732 <frozen importlib._bootstrap>:911(_load_unlocked)
    317/7    0.002    0.000    5.123    0.732 <frozen importlib._bootstrap_external>:993(exec_module)
   919/13    0.003    0.000    5.117    0.394 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   432/21    0.001    0.000    4.549    0.217 {built-in method builtins.__import__}
   406/84    0.004    0.000    4.257    0.051 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       51    0.161    0.003    3.158    0.062 full_vector_test#.py:268(all_energy)
   132500    1.265    0.000    3.151    0.000 full_vector_test#.py:131(one_energy)
        1    0.001    0.001    3.080    3.080 pyplot.py:1(<module>)
1233/1143    0.031    0.000    2.834    0.002 {built-in method builtins.__build_class__}
     39/2    0.002    0.000    2.672    1.336 text.py:926(get_window_extent)
     64/2    0.021    0.000    2.644    1.322 text.py:358(_get_layout)
      106    0.012    0.000    2.088    0.020 artist.py:158(_update_set_signature_and_docstring)
      105    0.016    0.000    2.068    0.020 artist.py:125(__init_subclass__)
        1    0.000    0.000    1.711    1.711 figure.py:1(<module>)
        2    0.000    0.000    1.656    0.828 pyplot.py:1621(subplots)
      120    0.002    0.000    1.648    0.014 artist.py:1832(kwdoc)
   132500    0.468    0.000    1.555    0.000 fromnumeric.py:2338(sum)
        2    0.000    0.000    1.534    0.767 pyplot.py:871(figure)
        2    0.000    0.000    1.533    0.767 pyplot.py:548(new_figure_manager)
      120    0.025    0.000    1.380    0.011 artist.py:1593(pprint_setters)
     4409    0.074    0.000    1.137    0.000 artist.py:1461(get_valid_values)
        1    0.000    0.000    1.114    1.114 image.py:1(<module>)
    136/5    0.002    0.000    1.107    0.221 text.py:65(_get_text_metrics_with_cache)
     7555    0.545    0.000    1.069    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    1.029    1.029 backend_bases.py:1(<module>)
        4    0.000    0.000    0.977    0.244 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.977    0.098 pyplot.py:358(_get_backend_mod)
      3/1    0.000    0.000    0.977    0.977 pyplot.py:372(switch_backend)
   132842    0.523    0.000    0.960    0.000 fromnumeric.py:69(_wrapreduction)
        9    0.000    0.000    0.953    0.106 __init__.py:73(import_module)
        9    0.000    0.000    0.953    0.106 <frozen importlib._bootstrap>:1375(_gcd_import)
       51    0.933    0.018    0.952    0.019 full_vector_test#.py:183(get_order)
        2    0.000    0.000    0.939    0.470 registry.py:302(load_backend_module)
        1    0.000    0.000    0.932    0.932 backend_qtagg.py:1(<module>)
     7512    0.039    0.000    0.901    0.000 inspect.py:863(getdoc)
        1    0.000    0.000    0.678    0.678 qt_compat.py:1(<module>)
        2    0.000    0.000    0.674    0.337 qt_compat.py:66(_setup_pyqt5plus)
        1    0.000    0.000    0.616    0.616 _axes.py:1(<module>)
     7020    0.032    0.000    0.615    0.000 __init__.py:280(_compile)
      227    0.003    0.000    0.589    0.003 artist.py:1413(__init__)
      227    0.205    0.001    0.583    0.003 artist.py:1433(get_aliases)
        2    0.000    0.000    0.556    0.278 backend_bases.py:3497(new_figure_manager)
      229    0.003    0.000    0.552    0.002 _compiler.py:745(compile)
        2    0.000    0.000    0.542    0.271 backend_bases.py:3506(new_figure_manager_given_figure)
        2    0.000    0.000    0.542    0.271 backend_bases.py:1774(new_manager)
        2    0.000    0.000    0.542    0.271 backend_bases.py:2648(create_with_canvas)
    48/44    0.000    0.000    0.539    0.012 <frozen importlib._bootstrap_external>:1299(exec_module)
    48/44    0.031    0.001    0.538    0.012 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.498    0.498 widgets.py:1(<module>)
