#=====================================================
# File created:        Fri-13-Feb-2026-at-06-56-18PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.557669
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2584.9215  0.2552 
   00001    0.6900   -3736.8446  0.2606 
   00002    0.6216   -4526.6352  0.2732 
   00003    0.5812   -5111.1660  0.2787 
   00004    0.5604   -5585.7991  0.2843 
   00005    0.5320   -5861.9594  0.2823 
   00006    0.5152   -6156.2210  0.2876 
   00007    0.4992   -6426.8741  0.2892 
   00008    0.5028   -6568.9403  0.2981 
   00009    0.4800   -6691.0882  0.2968 
   00010    0.4900   -6884.6817  0.3001 
   00011    0.4724   -6956.0720  0.3060 
   00012    0.4840   -7138.9234  0.3038 
   00013    0.4716   -7196.5826  0.3176 
   00014    0.4668   -7302.6187  0.3134 
   00015    0.4780   -7410.1287  0.3224 
   00016    0.4608   -7434.1205  0.3219 
   00017    0.4492   -7482.9588  0.3206 
   00018    0.4544   -7543.1655  0.3193 
   00019    0.4384   -7580.7996  0.3170 
   00020    0.4520   -7609.7259  0.3207 
   00021    0.4240   -7654.1597  0.3129 
   00022    0.4516   -7743.3539  0.3150 
   00023    0.4376   -7766.9996  0.3193 
   00024    0.4344   -7812.4711  0.3249 
   00025    0.4344   -7826.8855  0.3251 
   00026    0.4324   -7878.5142  0.3251 
   00027    0.4292   -7870.1464  0.3281 
   00028    0.4252   -7845.8654  0.3300 
   00029    0.4412   -7821.0291  0.3295 
   00030    0.4280   -7878.8087  0.3302 
   00031    0.4332   -7860.3497  0.3339 
   00032    0.4308   -7938.1160  0.3322 
   00033    0.4184   -7971.1188  0.3301 
   00034    0.4388   -7947.9775  0.3279 
   00035    0.4348   -7977.5310  0.3306 
   00036    0.4528   -7987.8674  0.3283 
   00037    0.4400   -8000.3178  0.3399 
   00038    0.4324   -8025.5193  0.3349 
   00039    0.4204   -8051.9116  0.3371 
   00040    0.4276   -8044.3106  0.3334 
   00041    0.4268   -8034.2971  0.3399 
   00042    0.4176   -7984.5816  0.3424 
   00043    0.4256   -8025.2129  0.3347 
   00044    0.4272   -8045.0475  0.3423 
   00045    0.4212   -8078.0369  0.3405 
   00046    0.4436   -8050.8754  0.3397 
   00047    0.4128   -8084.5642  0.3396 
   00048    0.4216   -8114.6493  0.3421 
   00049    0.4432   -8138.7140  0.3434 
   00050    0.4264   -8171.6239  0.3410 
