#=====================================================
# File created:        Mon-16-Feb-2026-at-01-59-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.953134
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2646.5660  0.2605 
   00001    0.6832   -3747.8706  0.2607 
   00002    0.6320   -4536.8288  0.2584 
   00003    0.5820   -5070.9288  0.2515 
   00004    0.5836   -5523.1751  0.2587 
   00005    0.5452   -5909.7848  0.2705 
   00006    0.5376   -6184.9473  0.2724 
   00007    0.5044   -6407.5130  0.2773 
   00008    0.5044   -6607.5211  0.2753 
   00009    0.5004   -6753.2441  0.2739 
   00010    0.4728   -6849.7105  0.2820 
   00011    0.4832   -7026.9837  0.2880 
   00012    0.4508   -7171.2123  0.2912 
   00013    0.4724   -7213.4505  0.2872 
   00014    0.4500   -7242.6172  0.2967 
   00015    0.4580   -7272.2072  0.2967 
   00016    0.4648   -7335.6087  0.3071 
   00017    0.4592   -7423.6036  0.3131 
   00018    0.4540   -7464.1646  0.3047 
   00019    0.4520   -7491.8901  0.3042 
   00020    0.4296   -7558.6718  0.2981 
   00021    0.4536   -7588.2001  0.3047 
   00022    0.4560   -7621.8697  0.3064 
   00023    0.4412   -7632.0609  0.3062 
   00024    0.4252   -7703.7514  0.3173 
   00025    0.4500   -7757.4283  0.3236 
   00026    0.4412   -7723.0701  0.3206 
   00027    0.4328   -7748.5442  0.3236 
   00028    0.4320   -7781.0692  0.3207 
   00029    0.4144   -7817.6917  0.3251 
   00030    0.4472   -7787.6746  0.3339 
   00031    0.4340   -7815.8641  0.3327 
   00032    0.4364   -7842.8460  0.3298 
   00033    0.4356   -7819.0446  0.3292 
   00034    0.4320   -7864.4635  0.3312 
   00035    0.4328   -7912.4929  0.3246 
   00036    0.4244   -7898.8901  0.3256 
   00037    0.4304   -7944.0592  0.3295 
   00038    0.4304   -7937.7805  0.3281 
   00039    0.4436   -7904.7653  0.3258 
   00040    0.4344   -7902.6872  0.3272 
   00041    0.4268   -7889.3734  0.3278 
   00042    0.4476   -7850.3833  0.3174 
   00043    0.4296   -7883.9949  0.3219 
   00044    0.4516   -7865.0923  0.3171 
   00045    0.4508   -7874.0100  0.3196 
   00046    0.4308   -7917.2303  0.3200 
   00047    0.4228   -7904.6076  0.3231 
   00048    0.4464   -7953.5235  0.3264 
   00049    0.4420   -7987.9296  0.3253 
   00050    0.4268   -8006.4507  0.3284 
