#=====================================================
# File created:        Mon-16-Feb-2026-at-10-00-07AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        9.334323
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2520.4851  0.2561 
   00001    0.6800   -3625.1346  0.2593 
   00002    0.6360   -4486.3008  0.2659 
   00003    0.5728   -5106.8524  0.2684 
   00004    0.5512   -5590.2844  0.2711 
   00005    0.5276   -5948.9990  0.2718 
   00006    0.5248   -6211.2028  0.2600 
   00007    0.5060   -6447.5829  0.2633 
   00008    0.5028   -6658.6363  0.2675 
   00009    0.4768   -6779.1473  0.2612 
   00010    0.4944   -6928.7818  0.2682 
   00011    0.4696   -7025.4970  0.2612 
   00012    0.4612   -7168.2884  0.2544 
   00013    0.4788   -7201.3819  0.2576 
   00014    0.4528   -7241.0832  0.2573 
   00015    0.4560   -7290.4335  0.2571 
   00016    0.4560   -7385.7664  0.2581 
   00017    0.4580   -7398.9969  0.2569 
   00018    0.4612   -7435.1773  0.2624 
   00019    0.4500   -7504.2025  0.2611 
   00020    0.4616   -7542.1013  0.2628 
   00021    0.4436   -7603.5306  0.2551 
   00022    0.4548   -7627.8467  0.2617 
   00023    0.4496   -7662.2711  0.2678 
   00024    0.4436   -7735.3271  0.2706 
   00025    0.4368   -7764.2395  0.2719 
   00026    0.4428   -7752.1556  0.2712 
   00027    0.4368   -7782.9628  0.2618 
   00028    0.4244   -7792.0401  0.2658 
   00029    0.4472   -7804.5978  0.2677 
   00030    0.4448   -7880.1217  0.2685 
   00031    0.4344   -7863.0989  0.2607 
   00032    0.4292   -7846.3664  0.2544 
   00033    0.4436   -7847.9097  0.2557 
   00034    0.4428   -7855.1570  0.2586 
   00035    0.4516   -7861.5021  0.2642 
   00036    0.4500   -7897.7721  0.2638 
   00037    0.4392   -7870.5594  0.2654 
   00038    0.4464   -7917.6818  0.2695 
   00039    0.4436   -7875.7936  0.2721 
   00040    0.4196   -7896.4595  0.2725 
   00041    0.4312   -7919.4487  0.2747 
   00042    0.4288   -7918.0334  0.2741 
   00043    0.4140   -7940.6361  0.2677 
   00044    0.4396   -7946.4846  0.2712 
   00045    0.4452   -7982.6878  0.2685 
   00046    0.4204   -8030.1332  0.2741 
   00047    0.4344   -7993.1823  0.2726 
   00048    0.4352   -8063.2055  0.2758 
   00049    0.4248   -8040.6175  0.2786 
   00050    0.4324   -8024.5194  0.2798 
