#=====================================================
# File created:        Sat-14-Feb-2026-at-07-17-55PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.676293
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2580.4307  0.2591 
   00001    0.0136   -2611.6391  0.2611 
   00002    0.0132   -2650.7749  0.2627 
   00003    0.0128   -2682.5003  0.2621 
   00004    0.0152   -2715.0335  0.2623 
   00005    0.0172   -2754.7498  0.2630 
   00006    0.0136   -2782.2002  0.2648 
   00007    0.0164   -2824.0573  0.2663 
   00008    0.0116   -2844.9521  0.2668 
   00009    0.0128   -2873.7741  0.2666 
   00010    0.0136   -2909.7715  0.2683 
   00011    0.0120   -2938.2403  0.2700 
   00012    0.0140   -2962.3569  0.2699 
   00013    0.0152   -2995.2120  0.2682 
   00014    0.0148   -3030.5452  0.2679 
   00015    0.0156   -3038.6313  0.2666 
   00016    0.0144   -3067.6413  0.2697 
   00017    0.0152   -3106.6948  0.2683 
   00018    0.0136   -3135.5825  0.2671 
   00019    0.0124   -3153.7436  0.2669 
   00020    0.0148   -3194.9146  0.2672 
   00021    0.0140   -3216.2050  0.2667 
   00022    0.0128   -3233.4373  0.2668 
   00023    0.0124   -3256.6988  0.2673 
   00024    0.0132   -3290.3031  0.2665 
   00025    0.0116   -3313.9396  0.2663 
   00026    0.0140   -3346.7191  0.2664 
   00027    0.0124   -3356.5403  0.2678 
   00028    0.0136   -3373.2538  0.2690 
   00029    0.0124   -3395.0438  0.2690 
   00030    0.0132   -3434.7277  0.2686 
   00031    0.0136   -3439.2377  0.2700 
   00032    0.0120   -3478.6074  0.2695 
   00033    0.0120   -3509.6786  0.2685 
   00034    0.0140   -3529.3832  0.2692 
   00035    0.0104   -3536.7055  0.2682 
   00036    0.0156   -3557.2937  0.2707 
   00037    0.0128   -3579.7886  0.2694 
   00038    0.0156   -3590.3128  0.2679 
   00039    0.0108   -3615.6479  0.2677 
   00040    0.0132   -3644.2786  0.2671 
   00041    0.0144   -3662.7324  0.2672 
   00042    0.0124   -3682.5521  0.2685 
   00043    0.0116   -3704.9280  0.2688 
   00044    0.0148   -3729.1321  0.2686 
   00045    0.0144   -3776.5253  0.2674 
   00046    0.0124   -3804.4310  0.2689 
   00047    0.0124   -3812.5136  0.2700 
   00048    0.0104   -3841.7005  0.2724 
   00049    0.0120   -3849.0536  0.2722 
   00050    0.0124   -3863.9227  0.2712 
