#=====================================================
# File created:        Tue-17-Feb-2026-at-03-05-33PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.252871
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2442.7709  0.2632 
   00001    0.6808   -3689.2894  0.2753 
   00002    0.6084   -4498.9249  0.2722 
   00003    0.5924   -5063.4257  0.2712 
   00004    0.5544   -5555.3202  0.2638 
   00005    0.5132   -5879.3465  0.2636 
   00006    0.5040   -6172.0468  0.2648 
   00007    0.4996   -6370.9883  0.2636 
   00008    0.5008   -6639.6314  0.2679 
   00009    0.4820   -6752.9892  0.2709 
   00010    0.4872   -6952.0891  0.2647 
   00011    0.4536   -7083.8682  0.2586 
   00012    0.4560   -7197.7528  0.2599 
   00013    0.4532   -7262.0946  0.2563 
   00014    0.4652   -7398.0280  0.2594 
   00015    0.4888   -7438.7414  0.2655 
   00016    0.4608   -7481.3166  0.2631 
   00017    0.4552   -7499.1400  0.2649 
   00018    0.4572   -7553.6113  0.2648 
   00019    0.4752   -7563.0386  0.2527 
   00020    0.4292   -7600.6525  0.2553 
   00021    0.4516   -7694.6362  0.2565 
   00022    0.4472   -7708.3185  0.2517 
   00023    0.4408   -7740.2004  0.2587 
   00024    0.4524   -7747.4727  0.2636 
   00025    0.4328   -7819.6312  0.2606 
   00026    0.4448   -7858.0286  0.2602 
   00027    0.4608   -7867.0896  0.2607 
   00028    0.4340   -7897.1561  0.2585 
   00029    0.4216   -7948.3860  0.2567 
   00030    0.4256   -7963.6526  0.2570 
   00031    0.4196   -8002.2349  0.2560 
   00032    0.4308   -8045.3317  0.2579 
   00033    0.4404   -8031.9332  0.2619 
   00034    0.4396   -8025.4860  0.2694 
   00035    0.4204   -7985.2072  0.2695 
   00036    0.4076   -7997.0401  0.2711 
   00037    0.4260   -8025.6617  0.2691 
   00038    0.4248   -8049.5678  0.2726 
   00039    0.4360   -8040.7396  0.2707 
   00040    0.4268   -8102.0678  0.2697 
   00041    0.4252   -8097.3358  0.2701 
   00042    0.4232   -8162.6711  0.2761 
   00043    0.4268   -8146.9474  0.2834 
   00044    0.4168   -8159.5144  0.2910 
   00045    0.4176   -8121.8139  0.2898 
   00046    0.4356   -8073.3501  0.2964 
   00047    0.4088   -8099.6911  0.2930 
   00048    0.4300   -8053.4718  0.2879 
   00049    0.4408   -8104.5901  0.2907 
   00050    0.4260   -8135.4526  0.2983 
