LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 2.910881 s
         1506055 function calls (1489000 primitive calls) in 5.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    316/1    0.004    0.000    5.087    5.087 {built-in method builtins.exec}
        1    0.000    0.000    5.087    5.087 LebwohlLasher.py:1(<module>)
        1    0.000    0.000    2.978    2.978 LebwohlLasher.py:257(main)
       34    0.002    0.000    2.746    0.081 __init__.py:1(<module>)
    366/4    0.003    0.000    2.139    0.535 <frozen importlib._bootstrap>:1349(_find_and_load)
    363/4    0.003    0.000    2.138    0.535 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    349/5    0.002    0.000    2.132    0.426 <frozen importlib._bootstrap>:911(_load_unlocked)
    301/5    0.001    0.000    2.131    0.426 <frozen importlib._bootstrap_external>:993(exec_module)
    854/9    0.001    0.000    2.125    0.236 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   416/14    0.001    0.000    1.935    0.138 {built-in method builtins.__import__}
   371/66    0.002    0.000    1.778    0.027 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   377500    1.739    0.000    1.739    0.000 LebwohlLasher.py:131(one_energy)
       50    0.474    0.009    1.662    0.033 LebwohlLasher.py:210(MC_step)
        1    0.001    0.001    1.368    1.368 pyplot.py:1(<module>)
1160/1070    0.015    0.000    1.081    0.001 {built-in method builtins.__build_class__}
      106    0.005    0.000    0.846    0.008 artist.py:158(_update_set_signature_and_docstring)
      105    0.009    0.000    0.841    0.008 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.719    0.719 figure.py:1(<module>)
      120    0.001    0.000    0.667    0.006 artist.py:1832(kwdoc)
       51    0.094    0.002    0.648    0.013 LebwohlLasher.py:165(all_energy)
       51    0.616    0.012    0.634    0.012 LebwohlLasher.py:182(get_order)
      120    0.011    0.000    0.563    0.005 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.525    0.525 image.py:1(<module>)
        1    0.000    0.000    0.489    0.489 backend_bases.py:1(<module>)
     4409    0.029    0.000    0.462    0.000 artist.py:1461(get_valid_values)
     7555    0.229    0.000    0.449    0.000 inspect.py:882(cleandoc)
     7512    0.016    0.000    0.367    0.000 inspect.py:863(getdoc)
        1    0.000    0.000    0.309    0.309 text.py:1(<module>)
        1    0.000    0.000    0.245    0.245 rcsetup.py:1(<module>)
        1    0.000    0.000    0.245    0.245 _axes.py:1(<module>)
      301    0.004    0.000    0.244    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
      227    0.001    0.000    0.238    0.001 artist.py:1413(__init__)
      227    0.080    0.000    0.236    0.001 artist.py:1433(get_aliases)
        1    0.000    0.000    0.195    0.195 patches.py:1(<module>)
      410    0.002    0.000    0.175    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
      410    0.163    0.000    0.163    0.000 {method 'read' of '_io.BufferedReader' objects}
  349/342    0.001    0.000    0.161    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.157    0.157 _base.py:1(<module>)
        1    0.000    0.000    0.154    0.154 axes3d.py:1(<module>)
     7007    0.013    0.000    0.153    0.000 __init__.py:280(_compile)
    43/41    0.000    0.000    0.144    0.004 <frozen importlib._bootstrap_external>:1291(create_module)
    43/41    0.130    0.003    0.144    0.004 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.143    0.143 widgets.py:1(<module>)
        1    0.000    0.000    0.140    0.140 collections.py:1(<module>)
      227    0.050    0.000    0.140    0.001 artist.py:1511(get_setters)
        1    0.000    0.000    0.138    0.138 __config__.py:1(<module>)
        9    0.000    0.000    0.129    0.014 _base.py:783(__init_subclass__)
        1    0.000    0.000    0.128    0.128 _fontconfig_pattern.py:1(<module>)
      224    0.002    0.000    0.128    0.001 _compiler.py:745(compile)
  128/117    0.001    0.000    0.113    0.001 _docstring.py:122(__call__)
      361    0.005    0.000    0.110    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     5929    0.012    0.000    0.110    0.000 __init__.py:174(search)
172649/171368    0.105    0.000    0.107    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.107    0.107 colors.py:1(<module>)
       31    0.019    0.001    0.106    0.003 __init__.py:887(_rc_params_in_file)
        3    0.001    0.000    0.096    0.032 core.py:1(<module>)
      358    0.001    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      358    0.002    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
       14    0.000    0.000    0.090    0.006 _docstring.py:73(__missing__)
      608    0.008    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.086    0.086 _axes.py:67(Axes)
        1    0.000    0.000    0.082    0.082 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.081    0.081 _index_tricks_impl.py:1(<module>)
      224    0.001    0.000    0.079    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.078    0.078 multiarray.py:1(<module>)
  509/224    0.003    0.000    0.077    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.076    0.076 art3d.py:1(<module>)
  588/248    0.021    0.000    0.074    0.000 _parser.py:512(_parse)
      725    0.001    0.000    0.074    0.000 inspect.py:3346(signature)
      725    0.001    0.000    0.073    0.000 inspect.py:3081(from_callable)
        1    0.000    0.000    0.072    0.072 defmatrix.py:1(<module>)
  856/725    0.006    0.000    0.072    0.000 inspect.py:2501(_signature_from_callable)
        1    0.000    0.000    0.069    0.069 _linalg.py:1(<module>)
    98445    0.068    0.000    0.068    0.000 {method 'startswith' of 'str' objects}
      977    0.002    0.000    0.065    0.000 __init__.py:751(__setitem__)
       73    0.000    0.000    0.060    0.001 __init__.py:226(compile)
        1    0.000    0.000    0.059    0.059 geo.py:1(<module>)
    89210    0.059    0.000    0.059    0.000 {method 'lstrip' of 'str' objects}
      200    0.001    0.000    0.057    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
        2    0.000    0.000    0.056    0.028 core.py:198(read_style_directory)
    72231    0.047    0.000    0.055    0.000 {built-in method builtins.isinstance}
     6870    0.026    0.000    0.053    0.000 inspect.py:2743(__init__)
      692    0.011    0.000    0.053    0.000 inspect.py:2397(_signature_from_function)
        1    0.000    0.000    0.053    0.053 Image.py:1(<module>)
    73332    0.051    0.000    0.052    0.000 {built-in method builtins.getattr}
      301    0.005    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
  313/200    0.001    0.000    0.050    0.000 typing.py:392(inner)
        1    0.000    0.000    0.049    0.049 offsetbox.py:1(<module>)
     1427    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.047    0.047 axis.py:1(<module>)
      100    0.001    0.000    0.047    0.000 pyplot.py:208(_add_pyplot_note)
     1440    0.046    0.000    0.047    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.046    0.046 cm.py:1(<module>)
        2    0.000    0.000    0.046    0.023 __init__.py:707(__getattr__)
      224    0.001    0.000    0.045    0.000 _compiler.py:578(_code)
    63665    0.045    0.000    0.045    0.000 {built-in method builtins.min}
       94    0.002    0.000    0.045    0.000 __init__.py:1450(_preprocess_data)
      301    0.044    0.000    0.044    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.043    0.043 polar.py:1(<module>)
        1    0.000    0.000    0.042    0.042 textpath.py:1(<module>)
      984    0.002    0.000    0.041    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.040    0.040 lines.py:1(<module>)
      456    0.001    0.000    0.037    0.000 artist.py:1530(number_of_parameters)
    43/39    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
    43/39    0.019    0.000    0.036    0.001 {built-in method _imp.exec_dynamic}
 1208/224    0.013    0.000    0.035    0.000 _compiler.py:37(_compile)
