LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.357, Time: 9.907009 s
         1534821 function calls (1517766 primitive calls) in 10.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    316/1    0.007    0.000   10.884   10.884 {built-in method builtins.exec}
        1    0.000    0.000   10.884   10.884 LebwohlLasher2.py:1(<module>)
        1    0.001    0.001    7.029    7.029 LebwohlLasher2.py:257(main)
       34    0.004    0.000    4.419    0.130 __init__.py:1(<module>)
    366/4    0.006    0.000    3.870    0.967 <frozen importlib._bootstrap>:1349(_find_and_load)
    363/4    0.005    0.000    3.869    0.967 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    349/5    0.003    0.000    3.864    0.773 <frozen importlib._bootstrap>:911(_load_unlocked)
    301/5    0.003    0.000    3.864    0.773 <frozen importlib._bootstrap_external>:993(exec_module)
    854/9    0.002    0.000    3.863    0.429 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   377500    3.735    0.000    3.735    0.000 LebwohlLasher2.py:131(one_energy)
   416/14    0.001    0.000    3.599    0.257 {built-in method builtins.__import__}
       50    1.035    0.021    3.518    0.070 LebwohlLasher2.py:210(MC_step)
   371/66    0.003    0.000    3.314    0.050 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.001    0.001    2.797    2.797 pyplot.py:1(<module>)
1160/1070    0.033    0.000    2.347    0.002 {built-in method builtins.__build_class__}
       51    1.918    0.038    1.998    0.039 LebwohlLasher2.py:182(get_order)
      106    0.012    0.000    1.889    0.018 artist.py:158(_update_set_signature_and_docstring)
      105    0.019    0.000    1.881    0.018 artist.py:125(__init_subclass__)
       51    0.221    0.004    1.492    0.029 LebwohlLasher2.py:165(all_energy)
      120    0.002    0.000    1.478    0.012 artist.py:1832(kwdoc)
        1    0.000    0.000    1.372    1.372 image.py:1(<module>)
        1    0.000    0.000    1.282    1.282 backend_bases.py:1(<module>)
      120    0.024    0.000    1.247    0.010 artist.py:1593(pprint_setters)
        1    0.000    0.000    1.247    1.247 figure.py:1(<module>)
     4409    0.065    0.000    1.016    0.000 artist.py:1461(get_valid_values)
     7555    0.459    0.000    0.901    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.842    0.842 text.py:1(<module>)
     7512    0.038    0.000    0.791    0.000 inspect.py:863(getdoc)
        1    0.000    0.000    0.579    0.579 _axes.py:1(<module>)
        1    0.000    0.000    0.553    0.553 patches.py:1(<module>)
      227    0.002    0.000    0.528    0.002 artist.py:1413(__init__)
      227    0.178    0.001    0.523    0.002 artist.py:1433(get_aliases)
