#=====================================================
# File created:        Tue-03-Mar-2026-at-03-01-55PM
# Size of lattice:     60x60
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.185723
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3479.8870  0.2635
   00001    0.0000   -5300.1552  0.2580
   00002    0.0000   -6411.8839  0.2593
   00003    0.0000   -7270.2445  0.2678
   00004    0.0000   -7911.2916  0.2680
   00005    0.0000   -8370.1626  0.2661
   00006    0.0000   -8778.2791  0.2752
   00007    0.0000   -9152.2183  0.2720
   00008    0.0000   -9377.0480  0.2796
   00009    0.0000   -9626.7769  0.2808
   00010    0.0000   -9872.4603  0.2860
   00011    0.0000   -9943.3833  0.2938
   00012    0.0000  -10164.6774  0.2974
   00013    0.0000  -10296.4721  0.2980
   00014    0.0000  -10357.4282  0.3010
   00015    0.0000  -10582.4489  0.3131
   00016    0.0000  -10662.0315  0.3238
   00017    0.0000  -10725.7006  0.3257
   00018    0.0000  -10801.3484  0.3271
   00019    0.0000  -10859.0333  0.3282
   00020    0.0000  -10920.5824  0.3293
   00021    0.0000  -10957.2533  0.3311
   00022    0.0000  -11032.8957  0.3386
   00023    0.0000  -11082.3894  0.3414
   00024    0.0000  -11131.2657  0.3414
   00025    0.0000  -11195.4512  0.3461
   00026    0.0000  -11234.1768  0.3492
   00027    0.0000  -11285.0856  0.3500
   00028    0.0000  -11328.1690  0.3580
   00029    0.0000  -11357.5533  0.3572
   00030    0.0000  -11365.8146  0.3642
   00031    0.0000  -11339.4061  0.3657
   00032    0.0000  -11329.2517  0.3753
   00033    0.0000  -11380.8979  0.3820
   00034    0.0000  -11383.4893  0.3858
   00035    0.0000  -11438.2548  0.3892
   00036    0.0000  -11523.3903  0.3826
   00037    0.0000  -11502.3200  0.3856
   00038    0.0000  -11516.0007  0.3829
   00039    0.0000  -11507.2003  0.3914
   00040    0.0000  -11551.9673  0.3956
   00041    0.0000  -11560.9228  0.3994
   00042    0.0000  -11609.7504  0.4055
   00043    0.0000  -11644.3020  0.4087
   00044    0.0000  -11627.7026  0.4063
   00045    0.0000  -11643.1393  0.4132
   00046    0.0000  -11642.4233  0.4160
   00047    0.0000  -11616.7163  0.4175
   00048    0.0000  -11659.4699  0.4214
   00049    0.0000  -11682.9117  0.4201
   00050    0.0000  -11640.2653  0.4236
