#=====================================================
# File created:        Tue-03-Mar-2026-at-03-02-16PM
# Size of lattice:     80x80
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.155083
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6453.6947  0.2707
   00001    0.0000   -9612.8768  0.2766
   00002    0.0000  -11822.8146  0.2851
   00003    0.0000  -13185.3888  0.2925
   00004    0.0000  -14328.3670  0.3005
   00005    0.0000  -15174.2142  0.3082
   00006    0.0000  -15810.0084  0.3108
   00007    0.0000  -16390.6057  0.3158
   00008    0.0000  -16835.5478  0.3240
   00009    0.0000  -17297.4052  0.3234
   00010    0.0000  -17703.1099  0.3258
   00011    0.0000  -17897.0353  0.3312
   00012    0.0000  -18210.5644  0.3324
   00013    0.0000  -18386.1880  0.3329
   00014    0.0000  -18642.8816  0.3299
   00015    0.0000  -18809.1914  0.3348
   00016    0.0000  -18986.2826  0.3379
   00017    0.0000  -19048.9203  0.3384
   00018    0.0000  -19206.5690  0.3375
   00019    0.0000  -19366.0739  0.3383
   00020    0.0000  -19439.1788  0.3389
   00021    0.0000  -19480.1663  0.3336
   00022    0.0000  -19608.7019  0.3359
   00023    0.0000  -19657.2112  0.3398
   00024    0.0000  -19768.1810  0.3400
   00025    0.0000  -19893.4250  0.3388
   00026    0.0000  -19931.3976  0.3411
   00027    0.0000  -20037.9945  0.3432
   00028    0.0000  -20072.4742  0.3420
   00029    0.0000  -20113.4758  0.3491
   00030    0.0000  -20193.8651  0.3505
   00031    0.0000  -20260.2487  0.3523
   00032    0.0000  -20312.5823  0.3553
   00033    0.0000  -20432.7605  0.3545
   00034    0.0000  -20465.1043  0.3555
   00035    0.0000  -20487.9361  0.3581
   00036    0.0000  -20522.6455  0.3625
   00037    0.0000  -20502.5344  0.3685
   00038    0.0000  -20468.7643  0.3674
   00039    0.0000  -20487.6519  0.3695
   00040    0.0000  -20507.0424  0.3746
   00041    0.0000  -20526.4179  0.3764
   00042    0.0000  -20584.6510  0.3785
   00043    0.0000  -20665.5388  0.3805
   00044    0.0000  -20581.6470  0.3821
   00045    0.0000  -20626.9022  0.3835
   00046    0.0000  -20626.4015  0.3816
   00047    0.0000  -20670.3964  0.3816
   00048    0.0000  -20654.6300  0.3851
   00049    0.0000  -20703.9752  0.3901
   00050    0.0000  -20632.9527  0.3943
