#=====================================================
# File created:        Tue-03-Mar-2026-at-03-06-17PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.251938
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10030.7949  0.2594
   00001    0.0000  -14995.3082  0.2591
   00002    0.0000  -18318.2420  0.2513
   00003    0.0000  -20556.4923  0.2583
   00004    0.0000  -22188.5120  0.2634
   00005    0.0000  -23504.4603  0.2700
   00006    0.0000  -24534.8218  0.2722
   00007    0.0000  -25561.1167  0.2803
   00008    0.0000  -26283.2905  0.2856
   00009    0.0000  -26957.4984  0.2910
   00010    0.0000  -27573.4334  0.2918
   00011    0.0000  -28047.3117  0.2981
   00012    0.0000  -28439.3803  0.3056
   00013    0.0000  -28774.7922  0.3085
   00014    0.0000  -29122.8503  0.3071
   00015    0.0000  -29412.4400  0.3038
   00016    0.0000  -29731.5244  0.3065
   00017    0.0000  -29926.0224  0.3074
   00018    0.0000  -30089.0065  0.3119
   00019    0.0000  -30361.2254  0.3112
   00020    0.0000  -30543.0017  0.3095
   00021    0.0000  -30799.3513  0.3162
   00022    0.0000  -31015.7509  0.3140
   00023    0.0000  -31107.5748  0.3122
   00024    0.0000  -31128.2654  0.3135
   00025    0.0000  -31358.5265  0.3120
   00026    0.0000  -31387.8435  0.3112
   00027    0.0000  -31514.4149  0.3120
   00028    0.0000  -31563.5992  0.3129
   00029    0.0000  -31597.7223  0.3133
   00030    0.0000  -31719.3698  0.3157
   00031    0.0000  -31833.9585  0.3169
   00032    0.0000  -31821.2620  0.3157
   00033    0.0000  -31856.1054  0.3157
   00034    0.0000  -31962.1130  0.3152
   00035    0.0000  -32047.0260  0.3145
   00036    0.0000  -32037.5952  0.3142
   00037    0.0000  -32144.6928  0.3145
   00038    0.0000  -32171.8670  0.3156
   00039    0.0000  -32107.6407  0.3138
   00040    0.0000  -32106.9945  0.3123
   00041    0.0000  -32163.8349  0.3112
   00042    0.0000  -32244.3413  0.3125
   00043    0.0000  -32288.3556  0.3159
   00044    0.0000  -32232.3581  0.3141
   00045    0.0000  -32342.0606  0.3157
   00046    0.0000  -32416.1190  0.3164
   00047    0.0000  -32467.1531  0.3165
   00048    0.0000  -32466.0768  0.3188
   00049    0.0000  -32472.1737  0.3192
   00050    0.0000  -32457.5923  0.3216
