#=====================================================
# File created:        Tue-03-Mar-2026-at-03-02-47PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.228429
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9945.7812  0.2561
   00001    0.0000  -14777.5105  0.2588
   00002    0.0000  -18037.1539  0.2667
   00003    0.0000  -20282.6936  0.2675
   00004    0.0000  -22029.5812  0.2716
   00005    0.0000  -23421.9508  0.2706
   00006    0.0000  -24411.8902  0.2706
   00007    0.0000  -25311.1423  0.2727
   00008    0.0000  -26100.2565  0.2802
   00009    0.0000  -26832.9103  0.2823
   00010    0.0000  -27328.5898  0.2854
   00011    0.0000  -27854.7133  0.2875
   00012    0.0000  -28194.2784  0.2893
   00013    0.0000  -28544.7474  0.2909
   00014    0.0000  -28962.4357  0.2946
   00015    0.0000  -29286.9469  0.3031
   00016    0.0000  -29588.0768  0.3030
   00017    0.0000  -29705.4145  0.3048
   00018    0.0000  -29949.2837  0.3064
   00019    0.0000  -30165.2977  0.3093
   00020    0.0000  -30428.4529  0.3106
   00021    0.0000  -30582.4259  0.3051
   00022    0.0000  -30765.6310  0.3033
   00023    0.0000  -30858.1558  0.3020
   00024    0.0000  -30872.0574  0.3061
   00025    0.0000  -31003.0139  0.3087
   00026    0.0000  -31105.2956  0.3120
   00027    0.0000  -31291.8205  0.3100
   00028    0.0000  -31418.2386  0.3109
   00029    0.0000  -31461.3636  0.3131
   00030    0.0000  -31616.2237  0.3110
   00031    0.0000  -31659.5002  0.3107
   00032    0.0000  -31666.7778  0.3120
   00033    0.0000  -31670.8309  0.3132
   00034    0.0000  -31795.6180  0.3118
   00035    0.0000  -31909.9447  0.3106
   00036    0.0000  -31977.4609  0.3102
   00037    0.0000  -31993.5818  0.3101
   00038    0.0000  -32121.8008  0.3149
   00039    0.0000  -32142.6528  0.3168
   00040    0.0000  -32157.1263  0.3170
   00041    0.0000  -32191.8406  0.3166
   00042    0.0000  -32151.2759  0.3192
   00043    0.0000  -32215.9498  0.3177
   00044    0.0000  -32356.3996  0.3213
   00045    0.0000  -32330.9869  0.3199
   00046    0.0000  -32491.0876  0.3212
   00047    0.0000  -32524.5023  0.3199
   00048    0.0000  -32506.8475  0.3202
   00049    0.0000  -32487.8700  0.3185
   00050    0.0000  -32494.0990  0.3186
