#=====================================================
# File created:        Tue-03-Mar-2026-at-02-57-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.091668
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2539.6595  0.2540
   00001    0.0000   -3776.4382  0.2644
   00002    0.0000   -4610.6344  0.2693
   00003    0.0000   -5155.7362  0.2728
   00004    0.0000   -5601.2967  0.2796
   00005    0.0000   -5994.4294  0.2817
   00006    0.0000   -6224.9332  0.2888
   00007    0.0000   -6395.6363  0.2958
   00008    0.0000   -6628.7682  0.2959
   00009    0.0000   -6773.3868  0.2944
   00010    0.0000   -6935.1889  0.2995
   00011    0.0000   -7059.2709  0.2978
   00012    0.0000   -7114.1524  0.2923
   00013    0.0000   -7267.1073  0.2971
   00014    0.0000   -7377.4858  0.3038
   00015    0.0000   -7444.3116  0.3038
   00016    0.0000   -7512.8413  0.3015
   00017    0.0000   -7589.6279  0.3053
   00018    0.0000   -7640.9329  0.3058
   00019    0.0000   -7665.7933  0.3085
   00020    0.0000   -7649.2214  0.3061
   00021    0.0000   -7694.9196  0.3114
   00022    0.0000   -7757.8192  0.3059
   00023    0.0000   -7799.7188  0.3116
   00024    0.0000   -7785.4728  0.3096
   00025    0.0000   -7826.6875  0.3082
   00026    0.0000   -7802.9562  0.3124
   00027    0.0000   -7872.7065  0.3099
   00028    0.0000   -7871.5885  0.3059
   00029    0.0000   -7961.4502  0.3057
   00030    0.0000   -7946.8733  0.3070
   00031    0.0000   -7948.5690  0.3066
   00032    0.0000   -7980.7921  0.3113
   00033    0.0000   -8026.2388  0.3090
   00034    0.0000   -8060.1071  0.3111
   00035    0.0000   -8027.1468  0.3096
   00036    0.0000   -8059.6887  0.3093
   00037    0.0000   -8061.3478  0.3060
   00038    0.0000   -8071.4630  0.3085
   00039    0.0000   -8048.6169  0.3053
   00040    0.0000   -8049.3616  0.3037
   00041    0.0000   -8093.8699  0.3082
   00042    0.0000   -8069.6619  0.3140
   00043    0.0000   -8072.6845  0.3140
   00044    0.0000   -8097.9252  0.3131
   00045    0.0000   -8060.6693  0.3125
   00046    0.0000   -8075.0924  0.3117
   00047    0.0000   -8065.6247  0.3085
   00048    0.0000   -8085.0797  0.3024
   00049    0.0000   -8073.5271  0.3102
   00050    0.0000   -8120.1680  0.3161
