#=====================================================
# File created:        Tue-03-Mar-2026-at-02-58-24PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.086774
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2537.1757  0.2545
   00001    0.0000   -3713.3656  0.2627
   00002    0.0000   -4514.6044  0.2628
   00003    0.0000   -4993.2748  0.2612
   00004    0.0000   -5417.6438  0.2665
   00005    0.0000   -5749.3053  0.2741
   00006    0.0000   -6026.0897  0.2898
   00007    0.0000   -6269.4524  0.2900
   00008    0.0000   -6448.5616  0.2946
   00009    0.0000   -6657.0523  0.2998
   00010    0.0000   -6769.2924  0.3044
   00011    0.0000   -6909.1521  0.3011
   00012    0.0000   -6986.4152  0.3091
   00013    0.0000   -7117.4708  0.3117
   00014    0.0000   -7266.0754  0.3119
   00015    0.0000   -7332.3422  0.3287
   00016    0.0000   -7436.6909  0.3294
   00017    0.0000   -7484.4923  0.3367
   00018    0.0000   -7538.6394  0.3470
   00019    0.0000   -7607.3733  0.3476
   00020    0.0000   -7645.9408  0.3532
   00021    0.0000   -7687.0006  0.3544
   00022    0.0000   -7682.6587  0.3551
   00023    0.0000   -7747.7208  0.3561
   00024    0.0000   -7743.2351  0.3587
   00025    0.0000   -7767.2909  0.3533
   00026    0.0000   -7766.8624  0.3563
   00027    0.0000   -7816.2864  0.3582
   00028    0.0000   -7820.4701  0.3604
   00029    0.0000   -7804.3050  0.3615
   00030    0.0000   -7865.7726  0.3669
   00031    0.0000   -7867.9940  0.3701
   00032    0.0000   -7928.3144  0.3691
   00033    0.0000   -7991.7384  0.3718
   00034    0.0000   -8001.5516  0.3745
   00035    0.0000   -8035.8753  0.3757
   00036    0.0000   -8048.4271  0.3726
   00037    0.0000   -8069.2050  0.3693
   00038    0.0000   -8059.9889  0.3737
   00039    0.0000   -8072.9939  0.3738
   00040    0.0000   -8098.0749  0.3747
   00041    0.0000   -8100.1588  0.3715
   00042    0.0000   -8079.2680  0.3775
   00043    0.0000   -8114.1413  0.3768
   00044    0.0000   -8139.3482  0.3782
   00045    0.0000   -8100.6968  0.3739
   00046    0.0000   -8113.4879  0.3795
   00047    0.0000   -8077.5261  0.3868
   00048    0.0000   -8092.2065  0.3929
   00049    0.0000   -8124.4455  0.3951
   00050    0.0000   -8153.7961  0.3966
