#=====================================================
# File created:        Tue-03-Mar-2026-at-02-58-44PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.065776
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2443.1512  0.2582
   00001    0.0000   -3618.2351  0.2519
   00002    0.0000   -4453.3491  0.2571
   00003    0.0000   -5054.8304  0.2639
   00004    0.0000   -5480.8197  0.2721
   00005    0.0000   -5774.5180  0.2733
   00006    0.0000   -6089.2333  0.2748
   00007    0.0000   -6309.0527  0.2744
   00008    0.0000   -6468.5738  0.2805
   00009    0.0000   -6679.0290  0.2879
   00010    0.0000   -6815.1993  0.2897
   00011    0.0000   -6959.4588  0.2858
   00012    0.0000   -7081.0827  0.2982
   00013    0.0000   -7198.1169  0.3022
   00014    0.0000   -7286.0806  0.3096
   00015    0.0000   -7365.1554  0.3021
   00016    0.0000   -7430.8668  0.2988
   00017    0.0000   -7506.0648  0.2955
   00018    0.0000   -7616.7546  0.2902
   00019    0.0000   -7623.0767  0.2877
   00020    0.0000   -7628.0890  0.2896
   00021    0.0000   -7608.9934  0.2920
   00022    0.0000   -7672.3157  0.2878
   00023    0.0000   -7689.9090  0.2926
   00024    0.0000   -7709.9852  0.2897
   00025    0.0000   -7709.2679  0.2926
   00026    0.0000   -7701.5104  0.2897
   00027    0.0000   -7765.1470  0.2860
   00028    0.0000   -7841.4983  0.2825
   00029    0.0000   -7868.5980  0.2827
   00030    0.0000   -7843.8172  0.2841
   00031    0.0000   -7839.9150  0.2988
   00032    0.0000   -7870.6167  0.3025
   00033    0.0000   -7942.5866  0.3031
   00034    0.0000   -8013.1099  0.3056
   00035    0.0000   -7951.4050  0.3175
   00036    0.0000   -7965.2697  0.3189
   00037    0.0000   -8045.6982  0.3238
   00038    0.0000   -8067.9097  0.3248
   00039    0.0000   -8037.4313  0.3271
   00040    0.0000   -8041.0825  0.3243
   00041    0.0000   -8073.3272  0.3267
   00042    0.0000   -8071.9210  0.3321
   00043    0.0000   -8063.8061  0.3345
   00044    0.0000   -8085.4823  0.3287
   00045    0.0000   -8070.1876  0.3226
   00046    0.0000   -8100.6511  0.3248
   00047    0.0000   -8099.2434  0.3278
   00048    0.0000   -8130.6331  0.3302
   00049    0.0000   -8135.5034  0.3209
   00050    0.0000   -8151.3560  0.3274
