#=====================================================
# File created:        Tue-03-Mar-2026-at-07-02-10PM
# Size of lattice:     250x250
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.853919
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000          nan  0.2527
   00001    0.0000          nan  0.2542
   00002    0.0000          nan  0.2513
   00003    0.0000          nan  0.2511
   00004    0.0000          nan  0.2519
   00005    0.0000          nan  0.2526
   00006    0.0000          nan  0.2545
   00007    0.0000          nan  0.2555
   00008    0.0000          nan  0.2556
   00009    0.0000          nan  0.2552
   00010    0.0000          nan  0.2566
   00011    0.0000          nan  0.2557
   00012    0.0000          nan  0.2534
   00013    0.0000          nan  0.2569
   00014    0.0000          nan  0.2561
   00015    0.0000          nan  0.2556
   00016    0.0000          nan  0.2551
   00017    0.0000          nan  0.2554
   00018    0.0000          nan  0.2551
   00019    0.0000          nan  0.2542
   00020    0.0000          nan  0.2540
   00021    0.0000          nan  0.2535
   00022    0.0000          nan  0.2513
   00023    0.0000          nan  0.2539
   00024    0.0000          nan  0.2543
   00025    0.0000          nan  0.2544
   00026    0.0000          nan  0.2556
   00027    0.0000          nan  0.2571
   00028    0.0000          nan  0.2566
   00029    0.0000          nan  0.2560
   00030    0.0000          nan  0.2551
   00031    0.0000          nan  0.2543
   00032    0.0000          nan  0.2533
   00033    0.0000          nan  0.2542
   00034    0.0000          nan  0.2545
   00035    0.0000          nan  0.2551
   00036    0.0000          nan  0.2550
   00037    0.0000          nan  0.2537
   00038    0.0000          nan  0.2525
   00039    0.0000          nan  0.2523
   00040    0.0000          nan  0.2520
   00041    0.0000          nan  0.2522
   00042    0.0000          nan  0.2531
   00043    0.0000          nan  0.2522
   00044    0.0000          nan  0.2535
   00045    0.0000          nan  0.2543
   00046    0.0000          nan  0.2546
   00047    0.0000          nan  0.2538
   00048    0.0000          nan  0.2546
   00049    0.0000          nan  0.2554
   00050    0.0000          nan  0.2545
