#=====================================================
# File created:        Tue-03-Mar-2026-at-06-59-37PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.064417
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2428.8572  0.2744
   00001    0.0000   -3631.2764  0.2830
   00002    0.0000   -4496.8256  0.2870
   00003    0.0000   -5150.7779  0.3025
   00004    0.0000   -5581.4570  0.3012
   00005    0.0000   -5854.4023  0.3185
   00006    0.0000   -6155.4304  0.3223
   00007    0.0000   -6434.2919  0.3233
   00008    0.0000   -6643.7586  0.3244
   00009    0.0000   -6809.5592  0.3346
   00010    0.0000   -6953.7812  0.3370
   00011    0.0000   -7022.7705  0.3486
   00012    0.0000   -7136.4055  0.3564
   00013    0.0000   -7245.8216  0.3632
   00014    0.0000   -7343.8437  0.3641
   00015    0.0000   -7363.3020  0.3610
   00016    0.0000   -7391.1138  0.3640
   00017    0.0000   -7407.7023  0.3765
   00018    0.0000   -7424.9195  0.3776
   00019    0.0000   -7466.1146  0.3718
   00020    0.0000   -7484.6450  0.3755
   00021    0.0000   -7499.0906  0.3716
   00022    0.0000   -7510.0221  0.3812
   00023    0.0000   -7624.8861  0.3906
   00024    0.0000   -7650.1661  0.3912
   00025    0.0000   -7677.0696  0.3949
   00026    0.0000   -7701.2786  0.3927
   00027    0.0000   -7719.3762  0.3899
   00028    0.0000   -7724.6110  0.3930
   00029    0.0000   -7738.1262  0.3946
   00030    0.0000   -7751.6988  0.3976
   00031    0.0000   -7791.8351  0.4034
   00032    0.0000   -7841.9649  0.4129
   00033    0.0000   -7862.9973  0.4156
   00034    0.0000   -7980.0445  0.4154
   00035    0.0000   -8013.2584  0.4153
   00036    0.0000   -8026.5225  0.4168
   00037    0.0000   -8072.6137  0.4177
   00038    0.0000   -8074.6826  0.4233
   00039    0.0000   -8046.0074  0.4270
   00040    0.0000   -8065.3145  0.4294
   00041    0.0000   -8056.0652  0.4275
   00042    0.0000   -8047.7904  0.4245
   00043    0.0000   -8038.4983  0.4240
   00044    0.0000   -8044.1665  0.4272
   00045    0.0000   -8053.0438  0.4274
   00046    0.0000   -8102.1176  0.4345
   00047    0.0000   -8067.9677  0.4284
   00048    0.0000   -8088.3183  0.4289
   00049    0.0000   -8133.6666  0.4387
   00050    0.0000   -8113.6346  0.4413
