#=====================================================
# File created:        Tue-03-Mar-2026-at-02-59-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.114617
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2592.0335  0.2588
   00001    0.0000   -3847.5137  0.2730
   00002    0.0000   -4629.8013  0.2712
   00003    0.0000   -5194.8860  0.2711
   00004    0.0000   -5593.8921  0.2713
   00005    0.0000   -5940.4146  0.2638
   00006    0.0000   -6248.7950  0.2628
   00007    0.0000   -6485.9233  0.2625
   00008    0.0000   -6709.1483  0.2683
   00009    0.0000   -6867.5478  0.2721
   00010    0.0000   -6938.6588  0.2687
   00011    0.0000   -7067.8190  0.2719
   00012    0.0000   -7167.7301  0.2733
   00013    0.0000   -7289.3317  0.2744
   00014    0.0000   -7385.7753  0.2664
   00015    0.0000   -7422.8862  0.2754
   00016    0.0000   -7506.6788  0.2745
   00017    0.0000   -7613.9818  0.2723
   00018    0.0000   -7596.3716  0.2653
   00019    0.0000   -7636.8684  0.2702
   00020    0.0000   -7683.5607  0.2702
   00021    0.0000   -7743.3973  0.2691
   00022    0.0000   -7819.6805  0.2791
   00023    0.0000   -7848.3826  0.2826
   00024    0.0000   -7856.1638  0.2870
   00025    0.0000   -7830.4858  0.2935
   00026    0.0000   -7886.9010  0.2917
   00027    0.0000   -7919.1451  0.2843
   00028    0.0000   -7921.1802  0.2782
   00029    0.0000   -7940.9317  0.2708
   00030    0.0000   -7979.5376  0.2733
   00031    0.0000   -7990.6488  0.2759
   00032    0.0000   -8013.9529  0.2823
   00033    0.0000   -8010.3317  0.2825
   00034    0.0000   -8025.3657  0.2811
   00035    0.0000   -8052.2994  0.2787
   00036    0.0000   -8091.0308  0.2766
   00037    0.0000   -8136.3168  0.2787
   00038    0.0000   -8145.5216  0.2810
   00039    0.0000   -8135.9775  0.2849
   00040    0.0000   -8106.9466  0.2923
   00041    0.0000   -8111.1136  0.2956
   00042    0.0000   -8111.6121  0.3013
   00043    0.0000   -8092.8134  0.3038
   00044    0.0000   -8056.8378  0.3081
   00045    0.0000   -8123.3789  0.3086
   00046    0.0000   -8102.4764  0.3115
   00047    0.0000   -8105.6201  0.3106
   00048    0.0000   -8105.3928  0.3052
   00049    0.0000   -8091.9524  0.2976
   00050    0.0000   -8109.2125  0.3055
