#=====================================================
# File created:        Mon-02-Mar-2026-at-01-27-12PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.080252
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2451.8652  0.2664
   00001    0.0000   -3635.8966  0.2641
   00002    0.0000   -4436.7071  0.2620
   00003    0.0000   -5045.0928  0.2595
   00004    0.0000   -5432.8037  0.2593
   00005    0.0000   -5822.7642  0.2632
   00006    0.0000   -6076.3032  0.2677
   00007    0.0000   -6317.2641  0.2600
   00008    0.0000   -6494.8799  0.2592
   00009    0.0000   -6756.7843  0.2604
   00010    0.0000   -6821.7939  0.2706
   00011    0.0000   -6947.1542  0.2770
   00012    0.0000   -7050.8105  0.2770
   00013    0.0000   -7176.2247  0.2818
   00014    0.0000   -7304.0740  0.2946
   00015    0.0000   -7331.9208  0.3010
   00016    0.0000   -7442.8169  0.2943
   00017    0.0000   -7523.7334  0.2965
   00018    0.0000   -7555.0188  0.3025
   00019    0.0000   -7615.1666  0.3083
   00020    0.0000   -7635.7395  0.3063
   00021    0.0000   -7626.5977  0.3176
   00022    0.0000   -7639.2999  0.3194
   00023    0.0000   -7699.7301  0.3151
   00024    0.0000   -7775.3502  0.3182
   00025    0.0000   -7821.8870  0.3255
   00026    0.0000   -7854.2632  0.3241
   00027    0.0000   -7863.2246  0.3264
   00028    0.0000   -7871.6159  0.3211
   00029    0.0000   -7893.8391  0.3211
   00030    0.0000   -7911.8105  0.3276
   00031    0.0000   -7929.2918  0.3299
   00032    0.0000   -7931.6694  0.3275
   00033    0.0000   -8017.1099  0.3219
   00034    0.0000   -8089.4102  0.3176
   00035    0.0000   -8073.9291  0.3193
   00036    0.0000   -8065.2288  0.3287
   00037    0.0000   -8114.2317  0.3253
   00038    0.0000   -8149.0477  0.3354
   00039    0.0000   -8139.4098  0.3421
   00040    0.0000   -8122.1387  0.3501
   00041    0.0000   -8114.1147  0.3558
   00042    0.0000   -8085.4877  0.3564
   00043    0.0000   -8091.4934  0.3551
   00044    0.0000   -8065.2683  0.3559
   00045    0.0000   -8041.9517  0.3541
   00046    0.0000   -8084.1178  0.3575
   00047    0.0000   -8090.8055  0.3583
   00048    0.0000   -8051.6650  0.3575
   00049    0.0000   -8061.8442  0.3621
   00050    0.0000   -8110.7903  0.3636
