#=====================================================
# File created:        Sun-01-Mar-2026-at-11-34-46PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 10.000
# Run time (s):        0.005077
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -94.7714  0.3641
   00001    0.0000    -110.7230  0.3749
   00002    0.0000    -116.7594  0.3098
   00003    0.0000    -115.9128  0.3497
   00004    0.0000    -117.4170  0.3394
   00005    0.0000    -116.2952  0.2788
   00006    0.0000    -151.1147  0.3332
   00007    0.0000     -92.5949  0.2676
   00008    0.0000    -116.5120  0.3191
   00009    0.0000    -125.7024  0.2650
   00010    0.0000    -124.0599  0.3445
   00011    0.0000     -83.6971  0.2768
   00012    0.0000     -98.8266  0.3789
   00013    0.0000    -125.1557  0.3605
   00014    0.0000    -122.8654  0.3032
   00015    0.0000     -98.0512  0.3990
   00016    0.0000     -99.7174  0.3490
   00017    0.0000     -97.1327  0.3648
   00018    0.0000     -80.7263  0.3241
   00019    0.0000     -81.7651  0.3191
   00020    0.0000    -101.6494  0.3171
   00021    0.0000    -123.9351  0.3390
   00022    0.0000    -138.4221  0.3024
   00023    0.0000    -130.5600  0.2959
   00024    0.0000     -96.8546  0.2591
   00025    0.0000     -86.5900  0.2737
   00026    0.0000     -60.7688  0.2739
   00027    0.0000     -90.1041  0.3252
   00028    0.0000     -94.7086  0.2746
   00029    0.0000    -101.2708  0.3186
   00030    0.0000    -117.5618  0.3263
   00031    0.0000    -102.2754  0.3232
   00032    0.0000    -123.2997  0.3373
   00033    0.0000    -100.7671  0.2715
   00034    0.0000    -128.1638  0.3310
   00035    0.0000    -128.0119  0.3703
   00036    0.0000    -113.4083  0.3141
   00037    0.0000     -67.8473  0.2972
   00038    0.0000    -109.5030  0.3286
   00039    0.0000     -98.9431  0.2534
   00040    0.0000    -110.0406  0.3418
   00041    0.0000    -134.5481  0.3215
   00042    0.0000    -106.0982  0.2832
   00043    0.0000    -127.1697  0.3039
   00044    0.0000    -133.4077  0.2821
   00045    0.0000    -124.9800  0.3525
   00046    0.0000    -108.7766  0.3565
   00047    0.0000    -122.6698  0.3802
   00048    0.0000     -80.0180  0.3031
   00049    0.0000    -107.5661  0.3142
   00050    0.0000    -108.4404  0.3095
   00051    0.0000    -136.7302  0.3836
   00052    0.0000    -107.0866  0.3641
   00053    0.0000    -100.7530  0.3715
   00054    0.0000    -115.0122  0.2721
   00055    0.0000     -75.8739  0.3277
   00056    0.0000     -99.6015  0.2569
   00057    0.0000     -97.4391  0.3364
   00058    0.0000    -103.6767  0.3899
   00059    0.0000    -121.5001  0.4157
   00060    0.0000    -116.7134  0.3698
   00061    0.0000     -97.1680  0.3638
   00062    0.0000    -103.9474  0.3251
   00063    0.0000     -93.5806  0.2850
   00064    0.0000    -111.4511  0.2781
   00065    0.0000    -110.1232  0.2583
   00066    0.0000    -133.3677  0.3586
   00067    0.0000    -114.4560  0.4001
   00068    0.0000    -102.2070  0.2994
   00069    0.0000    -139.7232  0.3162
   00070    0.0000    -105.0756  0.2838
   00071    0.0000    -116.4100  0.2860
   00072    0.0000    -134.3413  0.2812
   00073    0.0000    -115.5661  0.2599
   00074    0.0000     -82.4203  0.3136
   00075    0.0000    -114.4279  0.3334
   00076    0.0000    -120.7402  0.3069
   00077    0.0000    -114.5863  0.2963
   00078    0.0000    -121.0724  0.3208
   00079    0.0000    -115.0152  0.3368
   00080    0.0000    -116.4619  0.4068
   00081    0.0000    -128.4321  0.2725
   00082    0.0000    -116.0019  0.3096
   00083    0.0000    -120.1063  0.3232
   00084    0.0000    -111.4666  0.2902
   00085    0.0000    -125.3461  0.2926
   00086    0.0000    -134.1813  0.2734
   00087    0.0000    -107.4743  0.3302
   00088    0.0000    -130.5033  0.2616
   00089    0.0000    -115.2701  0.2954
   00090    0.0000    -118.3685  0.3045
   00091    0.0000     -99.8499  0.3414
   00092    0.0000    -100.8101  0.3246
   00093    0.0000     -86.6437  0.2757
   00094    0.0000    -100.5968  0.2817
   00095    0.0000    -102.7355  0.3054
   00096    0.0000    -130.7287  0.3029
   00097    0.0000    -108.6153  0.2992
   00098    0.0000     -91.6898  0.3652
   00099    0.0000    -114.2277  0.3978
   00100    0.0000     -84.4796  0.3663
