#=====================================================
# File created:        Tue-03-Mar-2026-at-07-06-57PM
# Size of lattice:     200x200
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.712498
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000          nan  0.2523
   00001    0.0000          nan  0.2548
   00002    0.0000          nan  0.2552
   00003    0.0000          nan  0.2558
   00004    0.0000          nan  0.2586
   00005    0.0000          nan  0.2585
   00006    0.0000          nan  0.2612
   00007    0.0000          nan  0.2623
   00008    0.0000          nan  0.2648
   00009    0.0000          nan  0.2621
   00010    0.0000          nan  0.2617
   00011    0.0000          nan  0.2632
   00012    0.0000          nan  0.2631
   00013    0.0000          nan  0.2617
   00014    0.0000          nan  0.2602
   00015    0.0000          nan  0.2610
   00016    0.0000          nan  0.2583
   00017    0.0000          nan  0.2585
   00018    0.0000          nan  0.2604
   00019    0.0000          nan  0.2602
   00020    0.0000          nan  0.2599
   00021    0.0000          nan  0.2616
   00022    0.0000          nan  0.2609
   00023    0.0000          nan  0.2599
   00024    0.0000          nan  0.2579
   00025    0.0000          nan  0.2574
   00026    0.0000          nan  0.2570
   00027    0.0000          nan  0.2573
   00028    0.0000          nan  0.2554
   00029    0.0000          nan  0.2561
   00030    0.0000          nan  0.2566
   00031    0.0000          nan  0.2543
   00032    0.0000          nan  0.2544
   00033    0.0000          nan  0.2536
   00034    0.0000          nan  0.2560
   00035    0.0000          nan  0.2569
   00036    0.0000          nan  0.2564
   00037    0.0000          nan  0.2566
   00038    0.0000          nan  0.2557
   00039    0.0000          nan  0.2575
   00040    0.0000          nan  0.2563
   00041    0.0000          nan  0.2553
   00042    0.0000          nan  0.2552
   00043    0.0000          nan  0.2547
   00044    0.0000          nan  0.2562
   00045    0.0000          nan  0.2556
   00046    0.0000          nan  0.2537
   00047    0.0000          nan  0.2531
   00048    0.0000          nan  0.2524
   00049    0.0000          nan  0.2511
   00050    0.0000          nan  0.2513
